kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length;10000;1;8;16;2.97984;0.119718;196740
no-run-length;10000;1;16;16;0.135136;2.63986;196740
no-run-length;10000;1;32;16;0.059392;6.00653;196740
no-run-length;10000;1;64;16;0.033248;10.7297;196740
no-run-length;10000;1;128;16;0.02048;17.4189;196740
no-run-length;10000;1;256;16;0.014976;23.8208;196740
no-run-length;10000;1;512;16;0.012448;28.6584;196740
no-run-length;10000;1;8;32;0.11264;3.16708;196740
no-run-length;10000;1;16;32;0.06064;5.88292;196740
no-run-length;10000;1;32;32;0.033248;10.7297;196740
no-run-length;10000;1;64;32;0.020448;17.4462;196740
no-run-length;10000;1;128;32;0.015744;22.6588;196740
no-run-length;10000;1;256;32;0.011904;29.9681;196740
no-run-length;10000;1;512;32;0.01024;34.8379;196740
no-run-length;10000;1;8;64;0.06112;5.83671;196740
no-run-length;10000;1;16;64;0.032768;10.8868;196740
no-run-length;10000;1;32;64;0.020448;17.4462;196740
no-run-length;10000;1;64;64;0.01296;27.5262;196740
no-run-length;10000;1;128;64;0.012512;28.5118;196740
no-run-length;10000;1;256;64;0.00992;35.9617;196740
no-run-length;10000;1;512;64;0.008704;40.9858;196740
no-run-length;10000;1;8;128;0.034112;10.4579;196740
no-run-length;10000;1;16;128;0.018784;18.9917;196740
no-run-length;10000;1;32;128;0.014656;24.3409;196740
no-run-length;10000;1;64;128;0.012064;29.5706;196740
no-run-length;10000;1;128;128;0.009056;39.3927;196740
no-run-length;10000;1;256;128;0.009152;38.9795;196740
no-run-length;10000;1;512;128;0.01024;34.8379;196740
no-run-length;10000;1;8;256;0.020896;17.0722;196740
no-run-length;10000;1;16;256;0.015168;23.5193;196740
no-run-length;10000;1;32;256;0.013472;26.4801;196740
no-run-length;10000;1;64;256;0.01024;34.8379;196740
no-run-length;10000;1;128;256;0.009984;35.7312;196740
no-run-length;10000;1;256;256;0.011168;31.943;196740
no-run-length;10000;1;512;256;0.01168;30.5428;196740
no-run-length;10000;1;8;512;0.018432;19.3544;196740
no-run-length;10000;1;16;512;0.01568;22.7513;196740
no-run-length;10000;1;32;512;0.01072;33.278;196740
no-run-length;10000;1;64;512;0.012192;29.2602;196740
no-run-length;10000;1;128;512;0.010624;33.5787;196740
no-run-length;10000;1;256;512;0.014336;24.8842;196740
no-run-length;10000;1;512;512;0.01392;25.6279;196740
no-run-length;10000;1;8;1024;0.020992;16.9941;196740
no-run-length;10000;1;16;1024;0.014208;25.1084;196740
no-run-length;10000;1;32;1024;0.014208;25.1084;196740
no-run-length;10000;1;64;1024;0.014336;24.8842;196740
no-run-length;10000;1;128;1024;0.014336;24.8842;196740
no-run-length;10000;1;256;1024;0.014496;24.6095;196740
no-run-length;10000;1;512;1024;0.014304;24.9399;196740
no-run-length;10000;2;8;16;0.208448;1.7127;197008
no-run-length;10000;2;16;16;0.108416;3.29295;197008
no-run-length;10000;2;32;16;0.057248;6.23617;197008
no-run-length;10000;2;64;16;0.031392;11.3726;197008
no-run-length;10000;2;128;16;0.020032;17.8219;197008
no-run-length;10000;2;256;16;0.013568;26.3125;197008
no-run-length;10000;2;512;16;0.012288;29.0534;197008
no-run-length;10000;2;8;32;0.113824;3.13649;197008
no-run-length;10000;2;16;32;0.059296;6.02078;197008
no-run-length;10000;2;32;32;0.03312;10.7792;197008
no-run-length;10000;2;64;32;0.01872;19.0709;197008
no-run-length;10000;2;128;32;0.014272;25.0146;197008
no-run-length;10000;2;256;32;0.011968;29.8302;197008
no-run-length;10000;2;512;32;0.0096;37.1883;197008
no-run-length;10000;2;8;64;0.058368;6.1165;197008
no-run-length;10000;2;16;64;0.032736;10.9057;197008
no-run-length;10000;2;32;64;0.019872;17.9654;197008
no-run-length;10000;2;64;64;0.012992;27.4791;197008
no-run-length;10000;2;128;64;0.012256;29.1292;197008
no-run-length;10000;2;256;64;0.008832;40.4221;197008
no-run-length;10000;2;512;64;0.01024;34.8641;197008
no-run-length;10000;2;8;128;0.03344;10.6761;197008
no-run-length;10000;2;16;128;0.019072;18.719;197008
no-run-length;10000;2;32;128;0.014336;24.9029;197008
no-run-length;10000;2;64;128;0.012288;29.0534;197008
no-run-length;10000;2;128;128;0.00944;37.8186;197008
no-run-length;10000;2;256;128;0.00912;39.1456;197008
no-run-length;10000;2;512;128;0.01024;34.8641;197008
no-run-length;10000;2;8;256;0.021696;16.455;197008
no-run-length;10000;2;16;256;0.015712;22.722;197008
no-run-length;10000;2;32;256;0.0136;26.2506;197008
no-run-length;10000;2;64;256;0.009984;35.758;197008
no-run-length;10000;2;128;256;0.010208;34.9734;197008
