kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length3;100000;1;8;16;7.68;0.571545;1989465
no-run-length3;100000;1;16;16;0.738624;5.94276;1989465
no-run-length3;100000;1;32;16;0.301056;14.5802;1989465
no-run-length3;100000;1;64;16;0.153696;28.5594;1989465
no-run-length3;100000;1;128;16;0.079872;54.9562;1989465
no-run-length3;100000;1;256;16;0.04352;100.861;1989465
no-run-length3;100000;1;512;16;0.028;156.767;1989465
no-run-length3;100000;1;8;32;0.608448;7.2142;1989465
no-run-length3;100000;1;16;32;0.30896;14.2072;1989465
no-run-length3;100000;1;32;32;0.156288;28.0857;1989465
no-run-length3;100000;1;64;32;0.079968;54.8903;1989465
no-run-length3;100000;1;128;32;0.044992;97.561;1989465
no-run-length3;100000;1;256;32;0.026784;163.884;1989465
no-run-length3;100000;1;512;32;0.017312;253.55;1989465
no-run-length3;100000;1;8;64;0.308768;14.2161;1989465
no-run-length3;100000;1;16;64;0.155264;28.271;1989465
no-run-length3;100000;1;32;64;0.08128;54.0042;1989465
no-run-length3;100000;1;64;64;0.043008;102.062;1989465
no-run-length3;100000;1;128;64;0.026624;164.869;1989465
no-run-length3;100000;1;256;64;0.01824;240.651;1989465
no-run-length3;100000;1;512;64;0.015072;291.233;1989465
no-run-length3;100000;1;8;128;0.157312;27.9029;1989465
no-run-length3;100000;1;16;128;0.081344;53.9618;1989465
no-run-length3;100000;1;32;128;0.043616;100.639;1989465
no-run-length3;100000;1;64;128;0.026048;168.514;1989465
no-run-length3;100000;1;128;128;0.01696;258.813;1989465
no-run-length3;100000;1;256;128;0.015072;291.233;1989465
no-run-length3;100000;1;512;128;0.016;274.342;1989465
no-run-length3;100000;1;8;256;0.088064;49.844;1989465
no-run-length3;100000;1;16;256;0.049024;89.5371;1989465
no-run-length3;100000;1;32;256;0.028032;156.588;1989465
no-run-length3;100000;1;64;256;0.018528;236.91;1989465
no-run-length3;100000;1;128;256;0.014976;293.1;1989465
no-run-length3;100000;1;256;256;0.014336;306.185;1989465
no-run-length3;100000;1;512;256;0.014528;302.138;1989465
no-run-length3;100000;1;8;512;0.055168;79.5654;1989465
no-run-length3;100000;1;16;512;0.032544;134.878;1989465
no-run-length3;100000;1;32;512;0.019424;225.982;1989465
no-run-length3;100000;1;64;512;0.016384;267.912;1989465
no-run-length3;100000;1;128;512;0.014336;306.185;1989465
no-run-length3;100000;1;256;512;0.014624;300.155;1989465
no-run-length3;100000;1;512;512;0.014336;306.185;1989465
no-run-length3;100000;1;8;1024;0.044;99.7606;1989465
no-run-length3;100000;1;16;1024;0.027168;161.567;1989465
no-run-length3;100000;1;32;1024;0.017344;253.083;1989465
no-run-length3;100000;1;64;1024;0.015744;278.802;1989465
no-run-length3;100000;1;128;1024;0.016992;258.325;1989465
no-run-length3;100000;1;256;1024;0.016864;260.286;1989465
no-run-length3;100000;1;512;1024;0.016416;267.389;1989465
no-run-length3;100000;2;8;16;1.76563;2.4801;1978936
no-run-length3;100000;2;16;16;0.757632;5.77977;1978936
no-run-length3;100000;2;32;16;0.304192;14.3953;1978936
no-run-length3;100000;2;64;16;0.154848;28.2789;1978936
no-run-length3;100000;2;128;16;0.081344;53.8323;1978936
no-run-length3;100000;2;256;16;0.045056;97.1887;1978936
no-run-length3;100000;2;512;16;0.026912;162.713;1978936
no-run-length3;100000;2;8;32;0.622176;7.0381;1978936
no-run-length3;100000;2;16;32;0.315392;13.8841;1978936
no-run-length3;100000;2;32;32;0.16048;27.2865;1978936
no-run-length3;100000;2;64;32;0.083552;52.4097;1978936
no-run-length3;100000;2;128;32;0.045408;96.4353;1978936
no-run-length3;100000;2;256;32;0.026944;162.52;1978936
no-run-length3;100000;2;512;32;0.019168;228.45;1978936
no-run-length3;100000;2;8;64;0.314688;13.9152;1978936
no-run-length3;100000;2;16;64;0.16032;27.3137;1978936
no-run-length3;100000;2;32;64;0.08192;53.4538;1978936
no-run-length3;100000;2;64;64;0.043872;99.8116;1978936
no-run-length3;100000;2;128;64;0.026624;164.473;1978936
