kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1048576;1;8;16;0.052768;4.96786
no_shared;1048576;1;16;16;0.049984;5.24456
no_shared;1048576;1;32;16;0.050176;5.22449
no_shared;1048576;1;64;16;0.050176;5.22449
no_shared;1048576;1;128;16;0.049952;5.24792
no_shared;1048576;1;256;16;0.049792;5.26478
no_shared;1048576;1;512;16;0.049152;5.33333
no_shared;1048576;1;8;32;0.049152;5.33333
no_shared;1048576;1;16;32;0.049088;5.34029
no_shared;1048576;1;32;32;0.050016;5.2412
no_shared;1048576;1;64;32;0.050176;5.22449
no_shared;1048576;1;128;32;0.045056;5.81818
no_shared;1048576;1;256;32;0.049952;5.24792
no_shared;1048576;1;512;32;0.049696;5.27495
no_shared;1048576;1;8;64;0.050176;5.22449
no_shared;1048576;1;16;64;0.049152;5.33333
no_shared;1048576;1;32;64;0.049952;5.24792
no_shared;1048576;1;64;64;0.049152;5.33333
no_shared;1048576;1;128;64;0.050176;5.22449
no_shared;1048576;1;256;64;0.049152;5.33333
no_shared;1048576;1;512;64;0.049664;5.27835
no_shared;1048576;1;8;128;0.049856;5.25802
no_shared;1048576;1;16;128;0.049952;5.24792
no_shared;1048576;1;32;128;0.049728;5.27156
no_shared;1048576;1;64;128;0.050176;5.22449
no_shared;1048576;1;128;128;0.049824;5.2614
no_shared;1048576;1;256;128;0.049856;5.25802
no_shared;1048576;1;512;128;0.0488;5.3718
no_shared;1048576;1;8;256;0.050176;5.22449
no_shared;1048576;1;16;256;0.049152;5.33333
no_shared;1048576;1;32;256;0.049152;5.33333
no_shared;1048576;1;64;256;0.049856;5.25802
no_shared;1048576;1;128;256;0.04992;5.25128
no_shared;1048576;1;256;256;0.049952;5.24792
no_shared;1048576;1;512;256;0.050176;5.22449
no_shared;1048576;1;8;512;0.049152;5.33333
no_shared;1048576;1;16;512;0.04912;5.33681
no_shared;1048576;1;32;512;0.050176;5.22449
no_shared;1048576;1;64;512;0.050176;5.22449
no_shared;1048576;1;128;512;0.050176;5.22449
no_shared;1048576;1;256;512;0.050144;5.22782
no_shared;1048576;1;512;512;0.050176;5.22449
no_shared;1048576;1;8;1024;0.048896;5.36126
no_shared;1048576;1;16;1024;0.04992;5.25128
no_shared;1048576;1;32;1024;0.049728;5.27156
no_shared;1048576;1;64;1024;0.049984;5.24456
no_shared;1048576;1;128;1024;0.050752;5.1652
no_shared;1048576;1;256;1024;0.049152;5.33333
no_shared;1048576;1;512;1024;0.049152;5.33333
no_shared;1048576;2;8;16;0.206432;2.53976
no_shared;1048576;2;16;16;0.20992;2.49756
no_shared;1048576;2;32;16;0.20784;2.52256
no_shared;1048576;2;64;16;0.19968;2.62564
no_shared;1048576;2;128;16;0.195488;2.68194
no_shared;1048576;2;256;16;0.195584;2.68063
