kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;16;0.03152;0.00812183
no_shared;1000;1;16;16;0.01648;0.015534
no_shared;1000;1;32;16;0.004864;0.0526316
no_shared;1000;1;64;16;0.003776;0.0677966
no_shared;1000;1;128;16;0.003552;0.0720721
no_shared;1000;1;256;16;0.003872;0.0661157
no_shared;1000;1;512;16;0.004256;0.0601504
no_shared;1000;1;8;32;0.019488;0.0131363
no_shared;1000;1;16;32;0.018272;0.0140105
no_shared;1000;1;32;32;0.018208;0.0140598
no_shared;1000;1;64;32;0.018176;0.0140845
no_shared;1000;1;128;32;0.018048;0.0141844
no_shared;1000;1;256;32;0.018784;0.0136286
no_shared;1000;1;512;32;0.00448;0.0571429
no_shared;1000;1;8;64;0.00464;0.0551724
no_shared;1000;1;16;64;0.00352;0.0727273
no_shared;1000;1;32;64;0.00528;0.0484848
no_shared;1000;1;64;64;0.004448;0.057554
no_shared;1000;1;128;64;0.006368;0.040201
no_shared;1000;1;256;64;0.004864;0.0526316
no_shared;1000;1;512;64;0.004704;0.0544218
no_shared;1000;1;8;128;0.004384;0.0583942
no_shared;1000;1;16;128;0.003712;0.0689655
no_shared;1000;1;32;128;0.005504;0.0465116
no_shared;1000;1;64;128;0.005024;0.0509554
no_shared;1000;1;128;128;0.007968;0.0321285
no_shared;1000;1;256;128;0.004192;0.0610687
no_shared;1000;1;512;128;0.004064;0.0629921
no_shared;1000;1;8;256;0.017792;0.0143885
no_shared;1000;1;16;256;0.017024;0.0150376
no_shared;1000;1;32;256;0.01936;0.0132231
no_shared;1000;1;64;256;0.019168;0.0133556
no_shared;1000;1;128;256;0.005248;0.0487805
no_shared;1000;1;256;256;0.004416;0.057971
no_shared;1000;1;512;256;0.003808;0.0672269
no_shared;1000;1;8;512;0.004384;0.0583942
no_shared;1000;1;16;512;0.018464;0.0138648
no_shared;1000;1;32;512;0.018816;0.0136054
no_shared;1000;1;64;512;0.018976;0.0134907
no_shared;1000;1;128;512;0.004288;0.0597015
no_shared;1000;1;256;512;0.004352;0.0588235
no_shared;1000;1;512;512;0.005408;0.0473373
no_shared;1000;1;8;1024;0.012576;0.0203562
no_shared;1000;1;16;1024;0.017184;0.0148976
no_shared;1000;1;32;1024;0.004768;0.0536913
no_shared;1000;1;64;1024;0.004736;0.0540541
no_shared;1000;1;128;1024;0.004288;0.0597015
no_shared;1000;1;256;1024;0.019776;0.012945
no_shared;1000;1;512;1024;0.006944;0.0368664
no_shared;1000;2;8;16;0.021536;0.0237741
no_shared;1000;2;16;16;0.015264;0.033543
no_shared;1000;2;32;16;0.010816;0.0473373
no_shared;1000;2;64;16;0.011712;0.0437158
no_shared;1000;2;128;16;0.011648;0.043956
no_shared;1000;2;256;16;0.007744;0.0661157
no_shared;1000;2;512;16;0.007776;0.0658436
no_shared;1000;2;8;32;0.029408;0.0174102
no_shared;1000;2;16;32;0.02544;0.0201258
no_shared;1000;2;32;32;0.010208;0.0501567
no_shared;1000;2;64;32;0.023008;0.0222531
no_shared;1000;2;128;32;0.007712;0.06639
no_shared;1000;2;256;32;0.008192;0.0625
no_shared;1000;2;512;32;0.012992;0.0394089
no_shared;1000;2;8;64;0.010912;0.0469208
no_shared;1000;2;16;64;0.01568;0.0326531
no_shared;1000;2;32;64;0.021824;0.0234604
no_shared;1000;2;64;64;0.022528;0.0227273
no_shared;1000;2;128;64;0.016384;0.03125
no_shared;1000;2;256;64;0.022976;0.0222841
no_shared;1000;2;512;64;0.022752;0.0225035
no_shared;1000;2;8;128;0.008128;0.0629921
no_shared;1000;2;16;128;0.007744;0.0661157
no_shared;1000;2;32;128;0.007936;0.0645161
no_shared;1000;2;64;128;0.008448;0.0606061
no_shared;1000;2;128;128;0.008544;0.0599251
no_shared;1000;2;256;128;0.007776;0.0658436
no_shared;1000;2;512;128;0.008352;0.0613027
no_shared;1000;2;8;256;0.022464;0.022792
no_shared;1000;2;16;256;0.023328;0.0219479
no_shared;1000;2;32;256;0.022624;0.0226308
no_shared;1000;2;64;256;0.022912;0.0223464
