kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared2;1000000;1;8;16;5.35757;0.046663
no_shared2;1000000;1;16;16;1.49267;0.167485
no_shared2;1000000;1;32;16;0.734592;0.340325
no_shared2;1000000;1;64;16;0.370432;0.674888
no_shared2;1000000;1;128;16;0.186976;1.33707
no_shared2;1000000;1;256;16;0.098752;2.53159
no_shared2;1000000;1;512;16;0.056992;4.38658
no_shared2;1000000;1;8;32;1.44877;0.17256
no_shared2;1000000;1;16;32;0.729952;0.342488
no_shared2;1000000;1;32;32;0.369216;0.67711
no_shared2;1000000;1;64;32;0.188416;1.32685
no_shared2;1000000;1;128;32;0.100384;2.49044
no_shared2;1000000;1;256;32;0.055264;4.52374
no_shared2;1000000;1;512;32;0.034912;7.16086
no_shared2;1000000;1;8;64;0.730912;0.342038
no_shared2;1000000;1;16;64;0.37008;0.67553
no_shared2;1000000;1;32;64;0.189952;1.31612
no_shared2;1000000;1;64;64;0.098304;2.54313
no_shared2;1000000;1;128;64;0.05376;4.6503
no_shared2;1000000;1;256;64;0.03248;7.69704
no_shared2;1000000;1;512;64;0.02352;10.6293
no_shared2;1000000;1;8;128;0.369792;0.676056
no_shared2;1000000;1;16;128;0.18464;1.35399
no_shared2;1000000;1;32;128;0.098912;2.5275
no_shared2;1000000;1;64;128;0.054496;4.58749
no_shared2;1000000;1;128;128;0.034656;7.21376
no_shared2;1000000;1;256;128;0.024704;10.1198
no_shared2;1000000;1;512;128;0.025056;9.97765
no_shared2;1000000;1;8;256;0.221056;1.13094
no_shared2;1000000;1;16;256;0.113312;2.2063
no_shared2;1000000;1;32;256;0.062112;4.02499
no_shared2;1000000;1;64;256;0.037056;6.74655
no_shared2;1000000;1;128;256;0.023296;10.7315
no_shared2;1000000;1;256;256;0.02256;11.0816
no_shared2;1000000;1;512;256;0.022528;11.0973
no_shared2;1000000;1;8;512;0.128192;1.9502
no_shared2;1000000;1;16;512;0.067904;3.68167
no_shared2;1000000;1;32;512;0.045504;5.49402
no_shared2;1000000;1;64;512;0.024576;10.1725
no_shared2;1000000;1;128;512;0.022528;11.0973
no_shared2;1000000;1;256;512;0.022144;11.2897
no_shared2;1000000;1;512;512;0.022528;11.0973
no_shared2;1000000;1;8;1024;0.097216;2.57159
no_shared2;1000000;1;16;1024;0.0512;4.88281
no_shared2;1000000;1;32;1024;0.032704;7.64433
no_shared2;1000000;1;64;1024;0.022592;11.0659
no_shared2;1000000;1;128;1024;0.022592;11.0659
no_shared2;1000000;1;256;1024;0.021856;11.4385
no_shared2;1000000;1;512;1024;0.027584;9.06322
no_shared2;1000000;2;8;16;13.6684;0.0365809
no_shared2;1000000;2;16;16;6.82598;0.0732495
no_shared2;1000000;2;32;16;3.4407;0.145319
no_shared2;1000000;2;64;16;1.73363;0.288412
no_shared2;1000000;2;128;16;0.888832;0.562536
no_shared2;1000000;2;256;16;0.456928;1.09426
no_shared2;1000000;2;512;16;0.243712;2.0516
no_shared2;1000000;2;8;32;11.5697;0.0432162
no_shared2;1000000;2;16;32;5.78422;0.086442
no_shared2;1000000;2;32;32;2.91635;0.171447
no_shared2;1000000;2;64;32;1.47578;0.338805
no_shared2;1000000;2;128;32;0.747328;0.66905
no_shared2;1000000;2;256;32;0.395296;1.26487
no_shared2;1000000;2;512;32;0.2128;2.34962
no_shared2;1000000;2;8;64;5.64093;0.0886379
no_shared2;1000000;2;16;64;2.83808;0.176175
no_shared2;1000000;2;32;64;1.4233;0.351297
no_shared2;1000000;2;64;64;0.725824;0.688872
no_shared2;1000000;2;128;64;0.376128;1.32933
no_shared2;1000000;2;256;64;0.207552;2.40903
no_shared2;1000000;2;512;64;0.133056;3.75782
no_shared2;1000000;2;8;128;2.82214;0.17717
no_shared2;1000000;2;16;128;1.41981;0.35216
no_shared2;1000000;2;32;128;0.72288;0.691678
no_shared2;1000000;2;64;128;0.37408;1.33661
no_shared2;1000000;2;128;128;0.207232;2.41275
no_shared2;1000000;2;256;128;0.129312;3.86662
no_shared2;1000000;2;512;128;0.11936;4.18901
no_shared2;1000000;2;8;256;1.44973;0.344892
no_shared2;1000000;2;16;256;0.735232;0.680057
no_shared2;1000000;2;32;256;0.381568;1.31038
no_shared2;1000000;2;64;256;0.202976;2.46335
no_shared2;1000000;2;128;256;0.129024;3.87525
no_shared2;1000000;2;256;256;0.115328;4.33546
no_shared2;1000000;2;512;256;0.11408;4.38289
no_shared2;1000000;2;8;512;0.763904;0.654532
no_shared2;1000000;2;16;512;0.397024;1.25937
no_shared2;1000000;2;32;512;0.208992;2.39244
no_shared2;1000000;2;64;512;0.126976;3.93775
no_shared2;1000000;2;128;512;0.125088;3.99719
no_shared2;1000000;2;256;512;0.1224;4.08497
no_shared2;1000000;2;512;512;0.114688;4.35965
no_shared2;1000000;2;8;1024;0.477824;1.04641
no_shared2;1000000;2;16;1024;0.251552;1.98766
no_shared2;1000000;2;32;1024;0.141312;3.53827
no_shared2;1000000;2;64;1024;0.120128;4.16223
no_shared2;1000000;2;128;1024;0.122784;4.07219
no_shared2;1000000;2;256;1024;0.120896;4.13579
no_shared2;1000000;2;512;1024;0.126528;3.95169
no_shared2;1000000;3;8;16;14.2354;0.0535229
no_shared2;1000000;3;16;16;7.13728;0.106752
no_shared2;1000000;3;32;16;3.57635;0.213044
no_shared2;1000000;3;64;16;1.80032;0.423214
no_shared2;1000000;3;128;16;0.917568;0.830369
no_shared2;1000000;3;256;16;0.470272;1.62017
no_shared2;1000000;3;512;16;0.251904;3.02464
no_shared2;1000000;3;8;32;9.90186;0.0769472
no_shared2;1000000;3;16;32;4.96682;0.153402
no_shared2;1000000;3;32;32;2.48627;0.306451
no_shared2;1000000;3;64;32;1.26317;0.603182
no_shared2;1000000;3;128;32;0.648192;1.17545
no_shared2;1000000;3;256;32;0.339488;2.24432
no_shared2;1000000;3;512;32;0.190976;3.98961
no_shared2;1000000;3;8;64;4.94387;0.154114
no_shared2;1000000;3;16;64;2.47206;0.308212
no_shared2;1000000;3;32;64;1.2519;0.608609
no_shared2;1000000;3;64;64;0.638752;1.19283
no_shared2;1000000;3;128;64;0.335872;2.26848
no_shared2;1000000;3;256;64;0.190464;4.00034
no_shared2;1000000;3;512;64;0.124672;6.1114
no_shared2;1000000;3;8;128;2.48093;0.307111
no_shared2;1000000;3;16;128;1.25981;0.604791
no_shared2;1000000;3;32;128;0.638592;1.19312
no_shared2;1000000;3;64;128;0.33376;2.28284
no_shared2;1000000;3;128;128;0.188416;4.04382
no_shared2;1000000;3;256;128;0.12496;6.09731
no_shared2;1000000;3;512;128;0.116832;6.5215
no_shared2;1000000;3;8;256;1.26976;0.60005
no_shared2;1000000;3;16;256;0.64512;1.18105
no_shared2;1000000;3;32;256;0.33872;2.24941
no_shared2;1000000;3;64;256;0.188416;4.04382
no_shared2;1000000;3;128;256;0.13152;5.79319
no_shared2;1000000;3;256;256;0.116736;6.52686
no_shared2;1000000;3;512;256;0.117152;6.50369
no_shared2;1000000;3;8;512;0.677376;1.12481
no_shared2;1000000;3;16;512;0.350528;2.17364
no_shared2;1000000;3;32;512;0.1944;3.91934
no_shared2;1000000;3;64;512;0.128352;5.93618
no_shared2;1000000;3;128;512;0.118016;6.45607
no_shared2;1000000;3;256;512;0.116896;6.51793
no_shared2;1000000;3;512;512;0.119904;6.35442
no_shared2;1000000;3;8;1024;0.432128;1.76318
no_shared2;1000000;3;16;1024;0.231904;3.2855
no_shared2;1000000;3;32;1024;0.13312;5.72356
no_shared2;1000000;3;64;1024;0.12288;6.20052
no_shared2;1000000;3;128;1024;0.121184;6.2873
no_shared2;1000000;3;256;1024;0.124928;6.09887
no_shared2;1000000;3;512;1024;0.13312;5.72356
no_shared2;1000000;4;8;16;17.3629;0.0575939
no_shared2;1000000;4;16;16;8.69539;0.115003
no_shared2;1000000;4;32;16;4.33357;0.230757
no_shared2;1000000;4;64;16;2.18915;0.456798
no_shared2;1000000;4;128;16;1.10656;0.903702
no_shared2;1000000;4;256;16;0.569408;1.75621
no_shared2;1000000;4;512;16;0.299008;3.34439
no_shared2;1000000;4;8;32;9.81907;0.101843
no_shared2;1000000;4;16;32;4.91261;0.203558
no_shared2;1000000;4;32;32;2.46102;0.406335
no_shared2;1000000;4;64;32;1.24112;0.805724
no_shared2;1000000;4;128;32;0.629632;1.58823
no_shared2;1000000;4;256;32;0.33184;3.0135
no_shared2;1000000;4;512;32;0.188992;5.29123
no_shared2;1000000;4;8;64;4.79642;0.208489
no_shared2;1000000;4;16;64;2.40806;0.415271
no_shared2;1000000;4;32;64;1.21037;0.826195
no_shared2;1000000;4;64;64;0.618912;1.61574
no_shared2;1000000;4;128;64;0.326272;3.06493
no_shared2;1000000;4;256;64;0.184704;5.41407
no_shared2;1000000;4;512;64;0.127968;7.81445
no_shared2;1000000;4;8;128;2.41402;0.414247
no_shared2;1000000;4;16;128;1.21651;0.822022
no_shared2;1000000;4;32;128;0.61728;1.62001
no_shared2;1000000;4;64;128;0.32336;3.09253
no_shared2;1000000;4;128;128;0.181952;5.49596
no_shared2;1000000;4;256;128;0.135808;7.36334
no_shared2;1000000;4;512;128;0.129152;7.74281
no_shared2;1000000;4;8;256;1.24314;0.804417
no_shared2;1000000;4;16;256;0.63152;1.58348
no_shared2;1000000;4;32;256;0.329504;3.03486
no_shared2;1000000;4;64;256;0.18256;5.47765
no_shared2;1000000;4;128;256;0.139296;7.17896
no_shared2;1000000;4;256;256;0.132512;7.54649
no_shared2;1000000;4;512;256;0.119424;8.37353
no_shared2;1000000;4;8;512;0.665152;1.50342
no_shared2;1000000;4;16;512;0.348992;2.8654
no_shared2;1000000;4;32;512;0.191488;5.22226
no_shared2;1000000;4;64;512;0.14336;6.97545
no_shared2;1000000;4;128;512;0.126912;7.87948
no_shared2;1000000;4;256;512;0.12512;7.99233
no_shared2;1000000;4;512;512;0.121472;8.23235
no_shared2;1000000;4;8;1024;0.4608;2.17014
no_shared2;1000000;4;16;1024;0.239584;4.1739
no_shared2;1000000;4;32;1024;0.14544;6.87569
no_shared2;1000000;4;64;1024;0.139296;7.17896
no_shared2;1000000;4;128;1024;0.125568;7.96381
no_shared2;1000000;4;256;1024;0.124928;8.00461
no_shared2;1000000;4;512;1024;0.124704;8.01899
no_shared2;1000000;5;8;16;13.8365;0.0963642
no_shared2;1000000;5;16;16;6.91846;0.192723
no_shared2;1000000;5;32;16;3.48054;0.383085
no_shared2;1000000;5;64;16;1.75616;0.759238
no_shared2;1000000;5;128;16;0.88816;1.50124
no_shared2;1000000;5;256;16;0.451264;2.95469
no_shared2;1000000;5;512;16;0.233472;5.71094
no_shared2;1000000;5;8;32;8.27926;0.161046
no_shared2;1000000;5;16;32;4.1513;0.321187
no_shared2;1000000;5;32;32;2.07565;0.642375
no_shared2;1000000;5;64;32;1.05373;1.26536
no_shared2;1000000;5;128;32;0.545952;2.44224
no_shared2;1000000;5;256;32;0.284672;4.68379
no_shared2;1000000;5;512;32;0.156768;8.50521
no_shared2;1000000;5;8;64;4.13088;0.322775
no_shared2;1000000;5;16;64;2.07053;0.643963
no_shared2;1000000;5;32;64;1.04266;1.2788
no_shared2;1000000;5;64;64;0.530816;2.51188
no_shared2;1000000;5;128;64;0.280576;4.75217
no_shared2;1000000;5;256;64;0.156448;8.5226
no_shared2;1000000;5;512;64;0.104448;12.7656
no_shared2;1000000;5;8;128;2.08013;0.640991
no_shared2;1000000;5;16;128;1.04579;1.27496
no_shared2;1000000;5;32;128;0.535072;2.4919
no_shared2;1000000;5;64;128;0.280832;4.74784
no_shared2;1000000;5;128;128;0.157408;8.47062
no_shared2;1000000;5;256;128;0.103616;12.8681
no_shared2;1000000;5;512;128;0.094208;14.1532
no_shared2;1000000;5;8;256;1.0633;1.25397
no_shared2;1000000;5;16;256;0.540672;2.46609
no_shared2;1000000;5;32;256;0.287072;4.64463
no_shared2;1000000;5;64;256;0.1576;8.4603
no_shared2;1000000;5;128;256;0.106496;12.5201
no_shared2;1000000;5;256;256;0.097696;13.6479
no_shared2;1000000;5;512;256;0.091232;14.6149
no_shared2;1000000;5;8;512;0.565248;2.35887
no_shared2;1000000;5;16;512;0.298496;4.46687
no_shared2;1000000;5;32;512;0.161792;8.2411
no_shared2;1000000;5;64;512;0.106944;12.4677
no_shared2;1000000;5;128;512;0.099616;13.3848
no_shared2;1000000;5;256;512;0.094208;14.1532
no_shared2;1000000;5;512;512;0.096864;13.7651
no_shared2;1000000;5;8;1024;0.357568;3.72892
no_shared2;1000000;5;16;1024;0.18688;7.13476
no_shared2;1000000;5;32;1024;0.11264;11.8372
no_shared2;1000000;5;64;1024;0.094336;14.134
no_shared2;1000000;5;128;1024;0.098304;13.5635
no_shared2;1000000;5;256;1024;0.098304;13.5635
no_shared2;1000000;5;512;1024;0.099712;13.372
no_shared2;1000000;6;8;16;13.0294;0.122799
no_shared2;1000000;6;16;16;6.51469;0.245599
no_shared2;1000000;6;32;16;3.26861;0.489505
no_shared2;1000000;6;64;16;1.65194;0.968561
no_shared2;1000000;6;128;16;0.835584;1.91483
no_shared2;1000000;6;256;16;0.428928;3.73023
no_shared2;1000000;6;512;16;0.225984;7.08015
no_shared2;1000000;6;8;32;7.59603;0.210636
no_shared2;1000000;6;16;32;3.79098;0.422055
no_shared2;1000000;6;32;32;1.90106;0.841637
no_shared2;1000000;6;64;32;0.958464;1.66934
no_shared2;1000000;6;128;32;0.490144;3.26435
no_shared2;1000000;6;256;32;0.256;6.25
no_shared2;1000000;6;512;32;0.141312;11.3225
no_shared2;1000000;6;8;64;3.79011;0.422151
no_shared2;1000000;6;16;64;1.89946;0.842346
no_shared2;1000000;6;32;64;0.960512;1.66578
no_shared2;1000000;6;64;64;0.489472;3.26883
no_shared2;1000000;6;128;64;0.254912;6.27668
no_shared2;1000000;6;256;64;0.140352;11.3999
no_shared2;1000000;6;512;64;0.09216;17.3611
no_shared2;1000000;6;8;128;1.91142;0.837072
no_shared2;1000000;6;16;128;0.958464;1.66934
no_shared2;1000000;6;32;128;0.489472;3.26883
no_shared2;1000000;6;64;128;0.25488;6.27746
no_shared2;1000000;6;128;128;0.139264;11.489
no_shared2;1000000;6;256;128;0.088064;18.1686
