kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;16;0.032128;0.00796813
no_shared;1000;1;16;16;0.015424;0.0165975
no_shared;1000;1;32;16;0.004256;0.0601504
no_shared;1000;1;64;16;0.003296;0.0776699
no_shared;1000;1;128;16;0.004096;0.0625
no_shared;1000;1;256;16;0.00432;0.0592593
no_shared;1000;1;512;16;0.004352;0.0588235
no_shared;1000;1;8;32;0.019584;0.0130719
no_shared;1000;1;16;32;0.019712;0.012987
no_shared;1000;1;32;32;0.018208;0.0140598
no_shared;1000;1;64;32;0.005856;0.0437158
no_shared;1000;1;128;32;0.004736;0.0540541
no_shared;1000;1;256;32;0.018432;0.0138889
no_shared;1000;1;512;32;0.004384;0.0583942
no_shared;1000;1;8;64;0.004032;0.0634921
no_shared;1000;1;16;64;0.004448;0.057554
no_shared;1000;1;32;64;0.004384;0.0583942
no_shared;1000;1;64;64;0.004;0.064
no_shared;1000;1;128;64;0.003072;0.0833333
no_shared;1000;1;256;64;0.003712;0.0689655
no_shared;1000;1;512;64;0.004;0.064
no_shared;1000;1;8;128;0.003488;0.0733945
no_shared;1000;1;16;128;0.003264;0.0784314
no_shared;1000;1;32;128;0.003456;0.0740741
no_shared;1000;1;64;128;0.003648;0.0701754
no_shared;1000;1;128;128;0.01824;0.0140351
no_shared;1000;1;256;128;0.00656;0.0390244
no_shared;1000;1;512;128;0.00608;0.0421053
no_shared;1000;1;8;256;0.015456;0.0165631
no_shared;1000;1;16;256;0.018816;0.0136054
no_shared;1000;1;32;256;0.018944;0.0135135
no_shared;1000;1;64;256;0.018208;0.0140598
no_shared;1000;1;128;256;0.008384;0.0305344
no_shared;1000;1;256;256;0.015456;0.0165631
no_shared;1000;1;512;256;0.018304;0.013986
no_shared;1000;1;8;512;0.005696;0.0449438
no_shared;1000;1;16;512;0.005824;0.043956
no_shared;1000;1;32;512;0.019008;0.013468
no_shared;1000;1;64;512;0.00464;0.0551724
no_shared;1000;1;128;512;0.003968;0.0645161
no_shared;1000;1;256;512;0.004288;0.0597015
no_shared;1000;1;512;512;0.004608;0.0555556
no_shared;1000;1;8;1024;0.00416;0.0615385
no_shared;1000;1;16;1024;0.005408;0.0473373
no_shared;1000;1;32;1024;0.004512;0.0567376
no_shared;1000;1;64;1024;0.004192;0.0610687
no_shared;1000;1;128;1024;0.004928;0.0519481
no_shared;1000;1;256;1024;0.004768;0.0536913
no_shared;1000;1;512;1024;0.00688;0.0372093
no_shared;1000;2;8;16;0.019584;0.0261438
no_shared;1000;2;16;16;0.012;0.0426667
no_shared;1000;2;32;16;0.007968;0.064257
no_shared;1000;2;64;16;0.007456;0.0686695
no_shared;1000;2;128;16;0.008224;0.0622568
no_shared;1000;2;256;16;0.014752;0.0347072
no_shared;1000;2;512;16;0.014656;0.0349345
no_shared;1000;2;8;32;0.016;0.032
no_shared;1000;2;16;32;0.010048;0.0509554
no_shared;1000;2;32;32;0.006912;0.0740741
no_shared;1000;2;64;32;0.007456;0.0686695
no_shared;1000;2;128;32;0.007808;0.0655738
no_shared;1000;2;256;32;0.007552;0.0677966
no_shared;1000;2;512;32;0.008032;0.063745
no_shared;1000;2;8;64;0.00992;0.0516129
no_shared;1000;2;16;64;0.006848;0.0747664
no_shared;1000;2;32;64;0.007136;0.0717489
no_shared;1000;2;64;64;0.007808;0.0655738
no_shared;1000;2;128;64;0.007072;0.0723982
no_shared;1000;2;256;64;0.006912;0.0740741
no_shared;1000;2;512;64;0.00736;0.0695652
no_shared;1000;2;8;128;0.007104;0.0720721
no_shared;1000;2;16;128;0.00672;0.0761905
no_shared;1000;2;32;128;0.00688;0.0744186
no_shared;1000;2;64;128;0.00784;0.0653061
no_shared;1000;2;128;128;0.006912;0.0740741
no_shared;1000;2;256;128;0.006976;0.0733945
no_shared;1000;2;512;128;0.006976;0.0733945
no_shared;1000;2;8;256;0.006784;0.0754717
no_shared;1000;2;16;256;0.007296;0.0701754
no_shared;1000;2;32;256;0.007264;0.0704846
no_shared;1000;2;64;256;0.006624;0.0772947
no_shared;1000;2;128;256;0.007136;0.0717489
no_shared;1000;2;256;256;0.007072;0.0723982
no_shared;1000;2;512;256;0.007104;0.0720721
no_shared;1000;2;8;512;0.0072;0.0711111
no_shared;1000;2;16;512;0.007136;0.0717489
no_shared;1000;2;32;512;0.007488;0.0683761
no_shared;1000;2;64;512;0.00768;0.0666667
no_shared;1000;2;128;512;0.008064;0.0634921
no_shared;1000;2;256;512;0.007232;0.0707965
no_shared;1000;2;512;512;0.007936;0.0645161
no_shared;1000;2;8;1024;0.008192;0.0625
no_shared;1000;2;16;1024;0.006976;0.0733945
