kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000000;1;8;16;36.3927;0.439649
no_shared;1000000;1;16;16;1.56877;10.1991
no_shared;1000000;1;32;16;0.794688;20.1337
no_shared;1000000;1;64;16;0.415744;38.4852
no_shared;1000000;1;128;16;0.22352;71.582
no_shared;1000000;1;256;16;0.125408;127.584
no_shared;1000000;1;512;16;0.075168;212.857
no_shared;1000000;1;8;32;1.55453;10.2925
no_shared;1000000;1;16;32;0.786336;20.3475
no_shared;1000000;1;32;32;0.403456;39.6574
no_shared;1000000;1;64;32;0.2144;74.6269
no_shared;1000000;1;128;32;0.12048;132.802
no_shared;1000000;1;256;32;0.07168;223.214
no_shared;1000000;1;512;32;0.0512;312.5
no_shared;1000000;1;8;64;0.79072;20.2347
no_shared;1000000;1;16;64;0.407552;39.2588
no_shared;1000000;1;32;64;0.216064;74.0521
no_shared;1000000;1;64;64;0.119776;133.583
no_shared;1000000;1;128;64;0.07248;220.751
no_shared;1000000;1;256;64;0.049184;325.309
no_shared;1000000;1;512;64;0.047104;339.674
no_shared;1000000;1;8;128;0.41776;38.2995
no_shared;1000000;1;16;128;0.221856;72.1189
no_shared;1000000;1;32;128;0.12288;130.208
no_shared;1000000;1;64;128;0.072864;219.587
no_shared;1000000;1;128;128;0.049152;325.521
no_shared;1000000;1;256;128;0.047104;339.674
no_shared;1000000;1;512;128;0.04752;336.7
no_shared;1000000;1;8;256;0.230336;69.4637
no_shared;1000000;1;16;256;0.128736;124.285
no_shared;1000000;1;32;256;0.074368;215.146
no_shared;1000000;1;64;256;0.049152;325.521
no_shared;1000000;1;128;256;0.045472;351.865
no_shared;1000000;1;256;256;0.047104;339.674
no_shared;1000000;1;512;256;0.047712;335.345
no_shared;1000000;1;8;512;0.135584;118.008
no_shared;1000000;1;16;512;0.0792;202.02
no_shared;1000000;1;32;512;0.049472;323.415
no_shared;1000000;1;64;512;0.045536;351.37
no_shared;1000000;1;128;512;0.048032;333.111
no_shared;1000000;1;256;512;0.0496;322.581
no_shared;1000000;1;512;512;0.047104;339.674
no_shared;1000000;1;8;1024;0.090688;176.429
no_shared;1000000;1;16;1024;0.053056;301.568
no_shared;1000000;1;32;1024;0.049152;325.521
no_shared;1000000;1;64;1024;0.047296;338.295
no_shared;1000000;1;128;1024;0.046048;347.464
no_shared;1000000;1;256;1024;0.048192;332.005
no_shared;1000000;1;512;1024;0.047296;338.295
no_shared;1000000;2;8;16;3.09043;5.17727
no_shared;1000000;2;16;16;1.55712;10.2754
no_shared;1000000;2;32;16;0.793376;20.167
no_shared;1000000;2;64;16;0.417792;38.2966
no_shared;1000000;2;128;16;0.223264;71.664
no_shared;1000000;2;256;16;0.132864;120.424
no_shared;1000000;2;512;16;0.073984;216.263
no_shared;1000000;2;8;32;1.55213;10.3084
no_shared;1000000;2;16;32;0.78528;20.3749
no_shared;1000000;2;32;32;0.40512;39.4945
no_shared;1000000;2;64;32;0.213632;74.8951
no_shared;1000000;2;128;32;0.120928;132.31
no_shared;1000000;2;256;32;0.071168;224.82
no_shared;1000000;2;512;32;0.049216;325.098
no_shared;1000000;2;8;64;0.800928;19.9768
no_shared;1000000;2;16;64;0.408896;39.1298
no_shared;1000000;2;32;64;0.217408;73.5943
no_shared;1000000;2;64;64;0.12;133.333
no_shared;1000000;2;128;64;0.074496;214.777
no_shared;1000000;2;256;64;0.049184;325.309
no_shared;1000000;2;512;64;0.048352;330.907
no_shared;1000000;2;8;128;0.41888;38.1971
no_shared;1000000;2;16;128;0.221952;72.0877
no_shared;1000000;2;32;128;0.122944;130.141
no_shared;1000000;2;64;128;0.072128;221.828
no_shared;1000000;2;128;128;0.049536;322.997
no_shared;1000000;2;256;128;0.045952;348.189
no_shared;1000000;2;512;128;0.047104;339.674
no_shared;1000000;2;8;256;0.229632;69.6767
no_shared;1000000;2;16;256;0.12864;124.378
no_shared;1000000;2;32;256;0.074752;214.041
no_shared;1000000;2;64;256;0.049152;325.521
no_shared;1000000;2;128;256;0.047104;339.674
no_shared;1000000;2;256;256;0.047392;337.61
no_shared;1000000;2;512;256;0.046944;340.832
no_shared;1000000;2;8;512;0.135648;117.952
