kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;16;0.027232;0.587544
no_shared;1000;1;16;16;0.006464;2.47525
no_shared;1000;1;32;16;0.004384;3.64964
no_shared;1000;1;64;16;0.004032;3.96825
no_shared;1000;1;128;16;0.00352;4.54545
no_shared;1000;1;256;16;0.007296;2.19298
no_shared;1000;1;512;16;0.003648;4.38596
no_shared;1000;1;8;32;0.018336;0.8726
no_shared;1000;1;16;32;0.018656;0.857633
no_shared;1000;1;32;32;0.018048;0.886525
no_shared;1000;1;64;32;0.017664;0.905797
no_shared;1000;1;128;32;0.018176;0.880282
no_shared;1000;1;256;32;0.003328;4.80769
no_shared;1000;1;512;32;0.004064;3.93701
no_shared;1000;1;8;64;0.018112;0.883392
no_shared;1000;1;16;64;0.01744;0.917431
no_shared;1000;1;32;64;0.01776;0.900901
no_shared;1000;1;64;64;0.004032;3.96825
no_shared;1000;1;128;64;0.00336;4.7619
no_shared;1000;1;256;64;0.00384;4.16667
no_shared;1000;1;512;64;0.004768;3.3557
no_shared;1000;1;8;128;0.003904;4.09836
no_shared;1000;1;16;128;0.003104;5.15464
no_shared;1000;1;32;128;0.003616;4.42478
no_shared;1000;1;64;128;0.00336;4.7619
no_shared;1000;1;128;128;0.003616;4.42478
no_shared;1000;1;256;128;0.003456;4.62963
no_shared;1000;1;512;128;0.004224;3.78788
no_shared;1000;1;8;256;0.003488;4.58716
no_shared;1000;1;16;256;0.003232;4.9505
no_shared;1000;1;32;256;0.003456;4.62963
no_shared;1000;1;64;256;0.003488;4.58716
no_shared;1000;1;128;256;0.003552;4.5045
no_shared;1000;1;256;256;0.003424;4.6729
no_shared;1000;1;512;256;0.005216;3.06748
no_shared;1000;1;8;512;0.0032;5
no_shared;1000;1;16;512;0.018048;0.886525
no_shared;1000;1;32;512;0.01856;0.862069
no_shared;1000;1;64;512;0.018432;0.868055
no_shared;1000;1;128;512;0.018272;0.875657
no_shared;1000;1;256;512;0.00464;3.44828
no_shared;1000;1;512;512;0.00512;3.125
no_shared;1000;1;8;1024;0.004416;3.62319
no_shared;1000;1;16;1024;0.003904;4.09836
no_shared;1000;1;32;1024;0.004128;3.87597
no_shared;1000;1;64;1024;0.0032;5
no_shared;1000;1;128;1024;0.004384;3.64964
no_shared;1000;1;256;1024;0.004544;3.52113
no_shared;1000;1;512;1024;0.006464;2.47525
no_shared;1000;2;8;16;0.006464;2.47525
no_shared;1000;2;16;16;0.003648;4.38596
no_shared;1000;2;32;16;0.004256;3.7594
no_shared;1000;2;64;16;0.004;4
no_shared;1000;2;128;16;0.003872;4.13223
no_shared;1000;2;256;16;0.004128;3.87597
no_shared;1000;2;512;16;0.004512;3.5461
no_shared;1000;2;8;32;0.01664;0.961538
no_shared;1000;2;16;32;0.003712;4.31034
no_shared;1000;2;32;32;0.003808;4.20168
no_shared;1000;2;64;32;0.003616;4.42478
no_shared;1000;2;128;32;0.002976;5.37634
no_shared;1000;2;256;32;0.018272;0.875657
no_shared;1000;2;512;32;0.00464;3.44828
no_shared;1000;2;8;64;0.004064;3.93701
no_shared;1000;2;16;64;0.003968;4.03226
no_shared;1000;2;32;64;0.004224;3.78788
no_shared;1000;2;64;64;0.003456;4.62963
no_shared;1000;2;128;64;0.003232;4.9505
no_shared;1000;2;256;64;0.00384;4.16667
no_shared;1000;2;512;64;0.003744;4.2735
no_shared;1000;2;8;128;0.003296;4.85437
no_shared;1000;2;16;128;0.004064;3.93701
no_shared;1000;2;32;128;0.004416;3.62319
no_shared;1000;2;64;128;0.003424;4.6729
no_shared;1000;2;128;128;0.003648;4.38596
no_shared;1000;2;256;128;0.003744;4.2735
no_shared;1000;2;512;128;0.004288;3.73134
no_shared;1000;2;8;256;0.004032;3.96825
no_shared;1000;2;16;256;0.018784;0.851789
no_shared;1000;2;32;256;0.0184;0.869565
no_shared;1000;2;64;256;0.018272;0.875657
no_shared;1000;2;128;256;0.017856;0.896057
no_shared;1000;2;256;256;0.004;4
no_shared;1000;2;512;256;0.003968;4.03226
no_shared;1000;2;8;512;0.004128;3.87597
no_shared;1000;2;16;512;0.003904;4.09836
no_shared;1000;2;32;512;0.003584;4.46429
no_shared;1000;2;64;512;0.003872;4.13223
no_shared;1000;2;128;512;0.00384;4.16667
no_shared;1000;2;256;512;0.004224;3.78788
no_shared;1000;2;512;512;0.005248;3.04878
no_shared;1000;2;8;1024;0.002912;5.49451
no_shared;1000;2;16;1024;0.003744;4.2735
no_shared;1000;2;32;1024;0.004256;3.7594
no_shared;1000;2;64;1024;0.003392;4.71698
no_shared;1000;2;128;1024;0.004256;3.7594
no_shared;1000;2;256;1024;0.005024;3.18471
no_shared;1000;2;512;1024;0.006688;2.39234
no_shared;1000;3;8;16;0.014976;1.06838
no_shared;1000;3;16;16;0.004192;3.81679
no_shared;1000;3;32;16;0.004256;3.7594
no_shared;1000;3;64;16;0.003488;4.58716
no_shared;1000;3;128;16;0.003968;4.03226
no_shared;1000;3;256;16;0.004256;3.7594
no_shared;1000;3;512;16;0.004416;3.62319
no_shared;1000;3;8;32;0.003808;4.20168
no_shared;1000;3;16;32;0.004128;3.87597
no_shared;1000;3;32;32;0.003392;4.71698
no_shared;1000;3;64;32;0.003392;4.71698
no_shared;1000;3;128;32;0.004032;3.96825
no_shared;1000;3;256;32;0.003936;4.06504
no_shared;1000;3;512;32;0.004192;3.81679
no_shared;1000;3;8;64;0.018464;0.866551
no_shared;1000;3;16;64;0.018048;0.886525
no_shared;1000;3;32;64;0.007296;2.19298
no_shared;1000;3;64;64;0.01856;0.862069
no_shared;1000;3;128;64;0.018208;0.878735
no_shared;1000;3;256;64;0.017792;0.899281
no_shared;1000;3;512;64;0.0192;0.833333
no_shared;1000;3;8;128;0.003712;4.31034
no_shared;1000;3;16;128;0.003904;4.09836
no_shared;1000;3;32;128;0.004384;3.64964
no_shared;1000;3;64;128;0.003232;4.9505
no_shared;1000;3;128;128;0.003456;4.62963
no_shared;1000;3;256;128;0.01824;0.877193
no_shared;1000;3;512;128;0.019104;0.837521
no_shared;1000;3;8;256;0.003776;4.23729
no_shared;1000;3;16;256;0.00352;4.54545
no_shared;1000;3;32;256;0.003584;4.46429
no_shared;1000;3;64;256;0.003072;5.20833
no_shared;1000;3;128;256;0.004288;3.73134
no_shared;1000;3;256;256;0.00384;4.16667
no_shared;1000;3;512;256;0.00368;4.34783
no_shared;1000;3;8;512;0.00368;4.34783
no_shared;1000;3;16;512;0.003616;4.42478
no_shared;1000;3;32;512;0.004448;3.59712
no_shared;1000;3;64;512;0.018752;0.853242
no_shared;1000;3;128;512;0.005344;2.99401
no_shared;1000;3;256;512;0.00544;2.94118
no_shared;1000;3;512;512;0.005728;2.7933
no_shared;1000;3;8;1024;0.004;4
no_shared;1000;3;16;1024;0.003744;4.2735
no_shared;1000;3;32;1024;0.00416;3.84615
