kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length;10000;1;8;16;4.58026;0.168274;530739
run-length;10000;1;16;16;0.69632;1.10687;530739
run-length;10000;1;32;16;0.354272;2.17556;530739
run-length;10000;1;64;16;0.188384;4.09132;530739
run-length;10000;1;128;16;0.100896;7.63894;530739
run-length;10000;1;256;16;0.060064;12.832;530739
run-length;10000;1;512;16;0.042528;18.1231;530739
run-length;10000;1;8;32;0.766112;1.00604;530739
run-length;10000;1;16;32;0.387776;1.98759;530739
run-length;10000;1;32;32;0.201152;3.83162;530739
run-length;10000;1;64;32;0.102304;7.53381;530739
run-length;10000;1;128;32;0.065536;11.7605;530739
run-length;10000;1;256;32;0.043584;17.684;530739
run-length;10000;1;512;32;0.027008;28.5374;530739
run-length;10000;1;8;64;0.384256;2.0058;530739
run-length;10000;1;16;64;0.198624;3.88039;530739
run-length;10000;1;32;64;0.1024;7.52675;530739
run-length;10000;1;64;64;0.063488;12.1399;530739
run-length;10000;1;128;64;0.04352;17.71;530739
run-length;10000;1;256;64;0.02528;30.4881;530739
run-length;10000;1;512;64;0.025408;30.3345;530739
run-length;10000;1;8;128;0.212672;3.62407;530739
run-length;10000;1;16;128;0.108352;7.11329;530739
run-length;10000;1;32;128;0.065536;11.7605;530739
run-length;10000;1;64;128;0.045056;17.1062;530739
run-length;10000;1;128;128;0.025184;30.6043;530739
run-length;10000;1;256;128;0.024992;30.8394;530739
run-length;10000;1;512;128;0.02656;29.0188;530739
run-length;10000;1;8;256;0.112064;6.87767;530739
run-length;10000;1;16;256;0.066112;11.6581;530739
run-length;10000;1;32;256;0.045728;16.8549;530739
run-length;10000;1;64;256;0.02528;30.4881;530739
run-length;10000;1;128;256;0.025856;29.8089;530739
run-length;10000;1;256;256;0.028352;27.1846;530739
run-length;10000;1;512;256;0.027808;27.7164;530739
run-length;10000;1;8;512;0.073088;10.5454;530739
run-length;10000;1;16;512;0.049664;15.5191;530739
run-length;10000;1;32;512;0.028384;27.154;530739
run-length;10000;1;64;512;0.028096;27.4323;530739
run-length;10000;1;128;512;0.028192;27.3389;530739
run-length;10000;1;256;512;0.036128;21.3336;530739
run-length;10000;1;512;512;0.035424;21.7575;530739
run-length;10000;1;8;1024;0.063488;12.1399;530739
run-length;10000;1;16;1024;0.034816;22.1375;530739
run-length;10000;1;32;1024;0.034464;22.3636;530739
run-length;10000;1;64;1024;0.034784;22.1579;530739
run-length;10000;1;128;1024;0.033376;23.0926;530739
run-length;10000;1;256;1024;0.034208;22.531;530739
run-length;10000;1;512;1024;0.03472;22.1987;530739
run-length;10000;2;8;16;0.970272;0.559139;302517
run-length;10000;2;16;16;0.48944;1.10844;302517
run-length;10000;2;32;16;0.25856;2.09822;302517
run-length;10000;2;64;16;0.13568;3.9985;302517
run-length;10000;2;128;16;0.07168;7.5686;302517
run-length;10000;2;256;16;0.045696;11.8723;302517
run-length;10000;2;512;16;0.032224;16.8358;302517
run-length;10000;2;8;32;0.550912;0.984762;302517
run-length;10000;2;16;32;0.291392;1.86181;302517
run-length;10000;2;32;32;0.14912;3.63812;302517
run-length;10000;2;64;32;0.077696;6.98256;302517
run-length;10000;2;128;32;0.048864;11.1026;302517
run-length;10000;2;256;32;0.034464;15.7416;302517
run-length;10000;2;512;32;0.021696;25.0054;302517
run-length;10000;2;8;64;0.282368;1.92131;302517
run-length;10000;2;16;64;0.148;3.66566;302517
run-length;10000;2;32;64;0.0768;7.06402;302517
run-length;10000;2;64;64;0.047104;11.5174;302517
run-length;10000;2;128;64;0.034656;15.6543;302517
run-length;10000;2;256;64;0.020512;26.4488;302517
run-length;10000;2;512;64;0.021408;25.3418;302517
run-length;10000;2;8;128;0.152928;3.54753;302517
run-length;10000;2;16;128;0.077184;7.02888;302517
run-length;10000;2;32;128;0.049056;11.0591;302517
run-length;10000;2;64;128;0.034976;15.5111;302517
run-length;10000;2;128;128;0.0224;24.2195;302517
run-length;10000;2;256;128;0.022528;24.0819;302517
run-length;10000;2;512;128;0.022048;24.6062;302517
run-length;10000;2;8;256;0.080512;6.73834;302517
run-length;10000;2;16;256;0.051328;10.5696;302517
run-length;10000;2;32;256;0.034816;15.5824;302517
run-length;10000;2;64;256;0.022528;24.0819;302517
run-length;10000;2;128;256;0.020672;26.2441;302517
run-length;10000;2;256;256;0.022816;23.7779;302517
run-length;10000;2;512;256;0.022528;24.0819;302517
run-length;10000;2;8;512;0.056224;9.64921;302517
run-length;10000;2;16;512;0.038944;13.9307;302517
run-length;10000;2;32;512;0.022656;23.9458;302517
run-length;10000;2;64;512;0.02256;24.0477;302517
run-length;10000;2;128;512;0.022656;23.9458;302517
run-length;10000;2;256;512;0.030464;17.8085;302517
run-length;10000;2;512;512;0.029696;18.269;302517
run-length;10000;2;8;1024;0.049728;10.9097;302517
run-length;10000;2;16;1024;0.028672;18.9215;302517
run-length;10000;2;32;1024;0.028704;18.9004;302517
run-length;10000;2;64;1024;0.027488;19.7365;302517
run-length;10000;2;128;1024;0.027904;19.4423;302517
run-length;10000;2;256;1024;0.028576;18.9851;302517
run-length;10000;2;512;1024;0.027392;19.8057;302517
run-length;10000;3;8;16;0.814144;0.571677;225427
run-length;10000;3;16;16;0.412288;1.12889;225427
run-length;10000;3;32;16;0.21184;2.19707;225427
run-length;10000;3;64;16;0.112736;4.12847;225427
run-length;10000;3;128;16;0.06144;7.57531;225427
run-length;10000;3;256;16;0.038912;11.961;225427
run-length;10000;3;512;16;0.028672;16.2328;225427
run-length;10000;3;8;32;0.473088;0.983806;225427
run-length;10000;3;16;32;0.241664;1.92593;225427
run-length;10000;3;32;32;0.12288;3.78765;225427
run-length;10000;3;64;32;0.067584;6.88664;225427
run-length;10000;3;128;32;0.04256;10.9358;225427
run-length;10000;3;256;32;0.032064;14.5156;225427
run-length;10000;3;512;32;0.018816;24.7357;225427
run-length;10000;3;8;64;0.241664;1.92593;225427
run-length;10000;3;16;64;0.122592;3.79655;225427
run-length;10000;3;32;64;0.063776;7.29784;225427
run-length;10000;3;64;64;0.042592;10.9276;225427
run-length;10000;3;128;64;0.03072;15.1506;225427
run-length;10000;3;256;64;0.018432;25.251;225427
run-length;10000;3;512;64;0.017152;27.1354;225427
run-length;10000;3;8;128;0.127904;3.63888;225427
run-length;10000;3;16;128;0.066368;7.01282;225427
run-length;10000;3;32;128;0.042432;10.9688;225427
run-length;10000;3;64;128;0.03072;15.1506;225427
run-length;10000;3;128;128;0.018112;25.6972;225427
run-length;10000;3;256;128;0.01952;23.8436;225427
run-length;10000;3;512;128;0.01952;23.8436;225427
run-length;10000;3;8;256;0.072192;6.44707;225427
run-length;10000;3;16;256;0.045056;10.33;225427
run-length;10000;3;32;256;0.03232;14.4006;225427
run-length;10000;3;64;256;0.018432;25.251;225427
run-length;10000;3;128;256;0.018432;25.251;225427
run-length;10000;3;256;256;0.02;23.2714;225427
run-length;10000;3;512;256;0.019264;24.1605;225427
run-length;10000;3;8;512;0.049152;9.46914;225427
run-length;10000;3;16;512;0.03488;13.3437;225427
run-length;10000;3;32;512;0.019744;23.5731;225427
run-length;10000;3;64;512;0.018944;24.5686;225427
run-length;10000;3;128;512;0.02032;22.9049;225427
run-length;10000;3;256;512;0.026624;17.4815;225427
run-length;10000;3;512;512;0.026624;17.4815;225427
run-length;10000;3;8;1024;0.044992;10.3447;225427
run-length;10000;3;16;1024;0.024512;18.9877;225427
run-length;10000;3;32;1024;0.025824;18.023;225427
run-length;10000;3;64;1024;0.024576;18.9383;225427
run-length;10000;3;128;1024;0.02512;18.5281;225427
run-length;10000;3;256;1024;0.025728;18.0903;225427
run-length;10000;3;512;1024;0.024576;18.9383;225427
run-length;10000;4;8;16;0.862976;0.496255;188256
run-length;10000;4;16;16;0.438624;0.976362;188256
run-length;10000;4;32;16;0.227328;1.88387;188256
run-length;10000;4;64;16;0.116992;3.66056;188256
run-length;10000;4;128;16;0.064192;6.67149;188256
run-length;10000;4;256;16;0.0408;10.4965;188256
run-length;10000;4;512;16;0.03136;13.6561;188256
run-length;10000;4;8;32;0.508672;0.84191;188256
run-length;10000;4;16;32;0.258048;1.6596;188256
run-length;10000;4;32;32;0.13312;3.21707;188256
run-length;10000;4;64;32;0.071392;5.99866;188256
run-length;10000;4;128;32;0.044768;9.56612;188256
run-length;10000;4;256;32;0.031648;13.5319;188256
run-length;10000;4;512;32;0.020064;21.3445;188256
run-length;10000;4;8;64;0.25728;1.66455;188256
run-length;10000;4;16;64;0.135104;3.16982;188256
run-length;10000;4;32;64;0.07168;5.97455;188256
run-length;10000;4;64;64;0.0448;9.55929;188256
run-length;10000;4;128;64;0.030752;13.9261;188256
run-length;10000;4;256;64;0.019072;22.4547;188256
run-length;10000;4;512;64;0.0192;22.305;188256
run-length;10000;4;8;128;0.139008;3.0808;188256
run-length;10000;4;16;128;0.071968;5.95064;188256
run-length;10000;4;32;128;0.043008;9.95759;188256
run-length;10000;4;64;128;0.032288;13.2636;188256
run-length;10000;4;128;128;0.018688;22.9161;188256
run-length;10000;4;256;128;0.02048;20.9109;188256
run-length;10000;4;512;128;0.019072;22.4547;188256
run-length;10000;4;8;256;0.077824;5.50288;188256
run-length;10000;4;16;256;0.046208;9.26801;188256
run-length;10000;4;32;256;0.032928;13.0058;188256
run-length;10000;4;64;256;0.019264;22.2309;188256
run-length;10000;4;128;256;0.02048;20.9109;188256
run-length;10000;4;256;256;0.02272;18.8493;188256
run-length;10000;4;512;256;0.022528;19.0099;188256
run-length;10000;4;8;512;0.051264;8.35393;188256
run-length;10000;4;16;512;0.035808;11.9598;188256
run-length;10000;4;32;512;0.02048;20.9109;188256
run-length;10000;4;64;512;0.022528;19.0099;188256
run-length;10000;4;128;512;0.022144;19.3396;188256
run-length;10000;4;256;512;0.027648;15.4896;188256
run-length;10000;4;512;512;0.02816;15.208;188256
run-length;10000;4;8;1024;0.046432;9.22329;188256
run-length;10000;4;16;1024;0.027424;15.6161;188256
run-length;10000;4;32;1024;0.028608;14.9698;188256
run-length;10000;4;64;1024;0.028064;15.26;188256
run-length;10000;4;128;1024;0.027616;15.5075;188256
run-length;10000;4;256;1024;0.027584;15.5255;188256
run-length;10000;4;512;1024;0.028064;15.26;188256
run-length;10000;5;8;16;0.827008;0.490435;165594
run-length;10000;5;16;16;0.420352;0.964891;165594
run-length;10000;5;32;16;0.220672;1.83799;165594
run-length;10000;5;64;16;0.116896;3.4697;165594
run-length;10000;5;128;16;0.063488;6.38851;165594
run-length;10000;5;256;16;0.041216;9.84069;165594
run-length;10000;5;512;16;0.030528;13.286;165594
run-length;10000;5;8;32;0.495616;0.818363;165594
run-length;10000;5;16;32;0.259968;1.56017;165594
run-length;10000;5;32;32;0.13424;3.02141;165594
run-length;10000;5;64;32;0.074048;5.47745;165594
run-length;10000;5;128;32;0.047776;8.48949;165594
run-length;10000;5;256;32;0.03072;13.2029;165594
run-length;10000;5;512;32;0.020256;20.0234;165594
run-length;10000;5;8;64;0.256864;1.57902;165594
run-length;10000;5;16;64;0.13312;3.04683;165594
run-length;10000;5;32;64;0.071616;5.66345;165594
run-length;10000;5;64;64;0.046944;8.63995;165594
run-length;10000;5;128;64;0.030976;13.0938;165594
run-length;10000;5;256;64;0.020128;20.1507;165594
run-length;10000;5;512;64;0.019936;20.3448;165594
run-length;10000;5;8;128;0.13488;3.00707;165594
run-length;10000;5;16;128;0.072608;5.58608;165594
run-length;10000;5;32;128;0.046944;8.63995;165594
run-length;10000;5;64;128;0.032448;12.4998;165594
run-length;10000;5;128;128;0.018752;21.6294;165594
run-length;10000;5;256;128;0.020416;19.8665;165594
run-length;10000;5;512;128;0.020032;20.2473;165594
run-length;10000;5;8;256;0.077792;5.21383;165594
run-length;10000;5;16;256;0.048064;8.43862;165594
run-length;10000;5;32;256;0.032768;12.3777;165594
run-length;10000;5;64;256;0.019264;21.0545;165594
run-length;10000;5;128;256;0.020192;20.0869;165594
run-length;10000;5;256;256;0.021856;18.5576;165594
run-length;10000;5;512;256;0.021824;18.5848;165594
run-length;10000;5;8;512;0.054944;7.38195;165594
run-length;10000;5;16;512;0.03568;11.3675;165594
run-length;10000;5;32;512;0.02112;19.2043;165594
run-length;10000;5;64;512;0.021952;18.4764;165594
run-length;10000;5;128;512;0.02144;18.9176;165594
run-length;10000;5;256;512;0.028672;14.146;165594
run-length;10000;5;512;512;0.02848;14.2414;165594
run-length;10000;5;8;1024;0.048672;8.33321;165594
run-length;10000;5;16;1024;0.027104;14.9644;165594
run-length;10000;5;32;1024;0.026688;15.1976;165594
run-length;10000;5;64;1024;0.028064;14.4525;165594
run-length;10000;5;128;1024;0.026912;15.0711;165594
run-length;10000;5;256;1024;0.02784;14.5687;165594
run-length;10000;5;512;1024;0.02832;14.3218;165594
run-length;10000;6;8;16;0.810688;0.483372;151864
run-length;10000;6;16;16;0.4096;0.956699;151864
run-length;10000;6;32;16;0.212768;1.84174;151864
run-length;10000;6;64;16;0.112512;3.48286;151864
run-length;10000;6;128;16;0.061568;6.36473;151864
run-length;10000;6;256;16;0.042912;9.1318;151864
run-length;10000;6;512;16;0.030944;12.6637;151864
run-length;10000;6;8;32;0.483584;0.810333;151864
run-length;10000;6;16;32;0.246144;1.59201;151864
run-length;10000;6;32;32;0.128288;3.05456;151864
run-length;10000;6;64;32;0.071712;5.46441;151864
run-length;10000;6;128;32;0.049152;7.97249;151864
run-length;10000;6;256;32;0.034304;11.4233;151864
run-length;10000;6;512;32;0.020672;18.9563;151864
run-length;10000;6;8;64;0.243712;1.6079;151864
run-length;10000;6;16;64;0.129024;3.03714;151864
run-length;10000;6;32;64;0.069664;5.62506;151864
run-length;10000;6;64;64;0.04912;7.97769;151864
run-length;10000;6;128;64;0.032768;11.9587;151864
run-length;10000;6;256;64;0.021344;18.3594;151864
run-length;10000;6;512;64;0.020736;18.8978;151864
run-length;10000;6;8;128;0.131072;2.98969;151864
run-length;10000;6;16;128;0.073728;5.315;151864
run-length;10000;6;32;128;0.050336;7.78496;151864
run-length;10000;6;64;128;0.033344;11.7522;151864
run-length;10000;6;128;128;0.020768;18.8686;151864
run-length;10000;6;256;128;0.022144;17.6962;151864
