kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;1;8;16;13.3062;0.582656;5352927
run-length3;100000;1;16;16;4.54816;1.70463;5352927
run-length3;100000;1;32;16;2.28618;3.39122;5352927
run-length3;100000;1;64;16;1.13674;6.82034;5352927
run-length3;100000;1;128;16;0.58368;13.2828;5352927
run-length3;100000;1;256;16;0.297472;26.0627;5352927
run-length3;100000;1;512;16;0.1632;47.5057;5352927
run-length3;100000;1;8;32;4.6872;1.65406;5352927
run-length3;100000;1;16;32;2.34915;3.30031;5352927
run-length3;100000;1;32;32;1.18342;6.55127;5352927
run-length3;100000;1;64;32;0.593152;13.0707;5352927
run-length3;100000;1;128;32;0.306784;25.2716;5352927
run-length3;100000;1;256;32;0.157696;49.1638;5352927
run-length3;100000;1;512;32;0.092032;84.2416;5352927
run-length3;100000;1;8;64;2.22611;3.48272;5352927
run-length3;100000;1;16;64;1.11843;6.93196;5352927
run-length3;100000;1;32;64;0.5632;13.7659;5352927
run-length3;100000;1;64;64;0.290624;26.6768;5352927
run-length3;100000;1;128;64;0.16608;46.6819;5352927
run-length3;100000;1;256;64;0.090112;86.0366;5352927
run-length3;100000;1;512;64;0.06144;126.187;5352927
run-length3;100000;1;8;128;1.21376;6.38753;5352927
run-length3;100000;1;16;128;0.600608;12.9085;5352927
run-length3;100000;1;32;128;0.305568;25.3722;5352927
run-length3;100000;1;64;128;0.162048;47.8434;5352927
run-length3;100000;1;128;128;0.090112;86.0366;5352927
run-length3;100000;1;256;128;0.06144;126.187;5352927
run-length3;100000;1;512;128;0.047584;162.931;5352927
run-length3;100000;1;8;256;0.62464;12.4118;5352927
run-length3;100000;1;16;256;0.321536;24.1122;5352927
run-length3;100000;1;32;256;0.167936;46.166;5352927
run-length3;100000;1;64;256;0.090208;85.945;5352927
run-length3;100000;1;128;256;0.06144;126.187;5352927
run-length3;100000;1;256;256;0.045728;169.544;5352927
run-length3;100000;1;512;256;0.045056;172.073;5352927
run-length3;100000;1;8;512;0.350208;22.1381;5352927
run-length3;100000;1;16;512;0.180224;43.0183;5352927
run-length3;100000;1;32;512;0.098624;78.611;5352927
run-length3;100000;1;64;512;0.063264;122.549;5352927
run-length3;100000;1;128;512;0.044832;172.933;5352927
run-length3;100000;1;256;512;0.044032;176.075;5352927
run-length3;100000;1;512;512;0.045056;172.073;5352927
run-length3;100000;1;8;1024;0.23168;33.4639;5352927
run-length3;100000;1;16;1024;0.12656;61.2589;5352927
run-length3;100000;1;32;1024;0.076288;101.627;5352927
run-length3;100000;1;64;1024;0.051168;151.519;5352927
run-length3;100000;1;128;1024;0.057344;135.2;5352927
run-length3;100000;1;256;1024;0.057536;134.749;5352927
run-length3;100000;1;512;1024;0.057824;134.078;5352927
run-length3;100000;2;8;16;10.5926;0.563695;3570999
run-length3;100000;2;16;16;4.11786;1.45003;3570999
run-length3;100000;2;32;16;2.06826;2.88697;3570999
run-length3;100000;2;64;16;1.0423;5.72865;3570999
run-length3;100000;2;128;16;0.54704;10.9151;3570999
run-length3;100000;2;256;16;0.287616;20.7603;3570999
run-length3;100000;2;512;16;0.162272;36.7962;3570999
run-length3;100000;2;8;32;4.4416;1.34434;3570999
run-length3;100000;2;16;32;2.22458;2.68411;3570999
run-length3;100000;2;32;32;1.12214;5.32106;3570999
run-length3;100000;2;64;32;0.567296;10.5254;3570999
run-length3;100000;2;128;32;0.299008;19.9694;3570999
run-length3;100000;2;256;32;0.16592;35.9872;3570999
run-length3;100000;2;512;32;0.095392;62.5943;3570999
run-length3;100000;2;8;64;2.1033;2.83888;3570999
run-length3;100000;2;16;64;1.06944;5.58329;3570999
run-length3;100000;2;32;64;0.537088;11.1174;3570999
run-length3;100000;2;64;64;0.288224;20.7165;3570999
run-length3;100000;2;128;64;0.159968;37.3262;3570999
run-length3;100000;2;256;64;0.092352;64.6548;3570999
run-length3;100000;2;512;64;0.057344;104.126;3570999
run-length3;100000;2;8;128;1.12077;5.3276;3570999
run-length3;100000;2;16;128;0.579584;10.3022;3570999
run-length3;100000;2;32;128;0.292864;20.3883;3570999
run-length3;100000;2;64;128;0.157632;37.8794;3570999
run-length3;100000;2;128;128;0.092448;64.5876;3570999
run-length3;100000;2;256;128;0.058848;101.465;3570999
run-length3;100000;2;512;128;0.04048;147.505;3570999
run-length3;100000;2;8;256;0.594464;10.0443;3570999
run-length3;100000;2;16;256;0.305024;19.5755;3570999
run-length3;100000;2;32;256;0.163008;36.6301;3570999
run-length3;100000;2;64;256;0.09216;64.7895;3570999
run-length3;100000;2;128;256;0.057568;103.721;3570999
run-length3;100000;2;256;256;0.04;149.275;3570999
run-length3;100000;2;512;256;0.038912;153.449;3570999
run-length3;100000;2;8;512;0.339168;17.6048;3570999
run-length3;100000;2;16;512;0.178176;33.5118;3570999
run-length3;100000;2;32;512;0.098304;60.7401;3570999
run-length3;100000;2;64;512;0.059392;100.535;3570999
run-length3;100000;2;128;512;0.03728;160.166;3570999
run-length3;100000;2;256;512;0.03856;154.85;3570999
run-length3;100000;2;512;512;0.036896;161.833;3570999
run-length3;100000;2;8;1024;0.231872;25.7513;3570999
run-length3;100000;2;16;1024;0.124928;47.7955;3570999
run-length3;100000;2;32;1024;0.072576;82.2724;3570999
run-length3;100000;2;64;1024;0.043008;138.835;3570999
run-length3;100000;2;128;1024;0.045056;132.524;3570999
run-length3;100000;2;256;1024;0.043648;136.799;3570999
