kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;16;0.02832;0.00903955
no_shared;1000;1;16;16;0.017088;0.0149813
no_shared;1000;1;32;16;0.015456;0.0165631
no_shared;1000;1;64;16;0.004224;0.0606061
no_shared;1000;1;128;16;0.015552;0.0164609
no_shared;1000;1;256;16;0.005504;0.0465116
no_shared;1000;1;512;16;0.015904;0.0160966
no_shared;1000;1;8;32;0.00672;0.0380952
no_shared;1000;1;16;32;0.006048;0.042328
no_shared;1000;1;32;32;0.006592;0.038835
no_shared;1000;1;64;32;0.019904;0.0128617
no_shared;1000;1;128;32;0.020448;0.0125196
no_shared;1000;1;256;32;0.020288;0.0126183
no_shared;1000;1;512;32;0.015872;0.016129
no_shared;1000;1;8;64;0.004352;0.0588235
no_shared;1000;1;16;64;0.004416;0.057971
no_shared;1000;1;32;64;0.004288;0.0597015
no_shared;1000;1;64;64;0.00416;0.0615385
no_shared;1000;1;128;64;0.004672;0.0547945
no_shared;1000;1;256;64;0.004832;0.0529801
no_shared;1000;1;512;64;0.005536;0.0462428
no_shared;1000;1;8;128;0.004288;0.0597015
no_shared;1000;1;16;128;0.004416;0.057971
no_shared;1000;1;32;128;0.004192;0.0610687
no_shared;1000;1;64;128;0.004256;0.0601504
no_shared;1000;1;128;128;0.003904;0.0655738
no_shared;1000;1;256;128;0.003936;0.0650406
no_shared;1000;1;512;128;0.004864;0.0526316
no_shared;1000;1;8;256;0.004416;0.057971
no_shared;1000;1;16;256;0.004032;0.0634921
no_shared;1000;1;32;256;0.004;0.064
no_shared;1000;1;64;256;0.005888;0.0434783
no_shared;1000;1;128;256;0.005344;0.0479042
no_shared;1000;1;256;256;0.00496;0.0516129
no_shared;1000;1;512;256;0.005312;0.0481928
no_shared;1000;1;8;512;0.004032;0.0634921
no_shared;1000;1;16;512;0.003712;0.0689655
no_shared;1000;1;32;512;0.00432;0.0592593
no_shared;1000;1;64;512;0.004896;0.0522876
no_shared;1000;1;128;512;0.004448;0.057554
no_shared;1000;1;256;512;0.004864;0.0526316
no_shared;1000;1;512;512;0.007168;0.0357143
no_shared;1000;1;8;1024;0.004256;0.0601504
no_shared;1000;1;16;1024;0.004416;0.057971
no_shared;1000;1;32;1024;0.00496;0.0516129
no_shared;1000;1;64;1024;0.004032;0.0634921
no_shared;1000;1;128;1024;0.004928;0.0519481
no_shared;1000;1;256;1024;0.007264;0.0352423
no_shared;1000;1;512;1024;0.010752;0.0238095
no_shared;1000;2;8;16;0.019648;0.0260586
no_shared;1000;2;16;16;0.012224;0.0418848
no_shared;1000;2;32;16;0.009312;0.0549828
no_shared;1000;2;64;16;0.007776;0.0658436
no_shared;1000;2;128;16;0.007712;0.06639
no_shared;1000;2;256;16;0.008288;0.0617761
no_shared;1000;2;512;16;0.008768;0.0583942
no_shared;1000;2;8;32;0.01536;0.0333333
no_shared;1000;2;16;32;0.009856;0.0519481
no_shared;1000;2;32;32;0.008032;0.063745
no_shared;1000;2;64;32;0.007296;0.0701754
no_shared;1000;2;128;32;0.018496;0.0276817
no_shared;1000;2;256;32;0.019424;0.0263591
no_shared;1000;2;512;32;0.01408;0.0363636
no_shared;1000;2;8;64;0.010688;0.0479042
no_shared;1000;2;16;64;0.008064;0.0634921
no_shared;1000;2;32;64;0.007936;0.0645161
no_shared;1000;2;64;64;0.007264;0.0704846
no_shared;1000;2;128;64;0.007232;0.0707965
no_shared;1000;2;256;64;0.008;0.064
no_shared;1000;2;512;64;0.0104;0.0492308
no_shared;1000;2;8;128;0.007008;0.0730594
no_shared;1000;2;16;128;0.006944;0.0737327
no_shared;1000;2;32;128;0.00704;0.0727273
no_shared;1000;2;64;128;0.008416;0.0608365
no_shared;1000;2;128;128;0.007648;0.0669456
no_shared;1000;2;256;128;0.007872;0.0650406
no_shared;1000;2;512;128;0.010112;0.0506329
no_shared;1000;2;8;256;0.007392;0.0692641
no_shared;1000;2;16;256;0.008128;0.0629921
no_shared;1000;2;32;256;0.006912;0.0740741
no_shared;1000;2;64;256;0.008096;0.0632411
no_shared;1000;2;128;256;0.007296;0.0701754
no_shared;1000;2;256;256;0.007936;0.0645161
no_shared;1000;2;512;256;0.009248;0.0553633
no_shared;1000;2;8;512;0.007776;0.0658436
no_shared;1000;2;16;512;0.007264;0.0704846
no_shared;1000;2;32;512;0.007136;0.0717489
no_shared;1000;2;64;512;0.008128;0.0629921
no_shared;1000;2;128;512;0.007328;0.069869
no_shared;1000;2;256;512;0.008;0.064
no_shared;1000;2;512;512;0.007872;0.0650406
no_shared;1000;2;8;1024;0.014432;0.0354767
no_shared;1000;2;16;1024;0.00752;0.0680851
no_shared;1000;2;32;1024;0.007872;0.0650406
no_shared;1000;2;64;1024;0.007616;0.0672269
no_shared;1000;2;128;1024;0.00784;0.0653061
no_shared;1000;2;256;1024;0.008256;0.0620155
no_shared;1000;2;512;1024;0.010784;0.0474777
no_shared;1000;3;8;16;0.02032;0.0377953
no_shared;1000;3;16;16;0.01248;0.0615385
no_shared;1000;3;32;16;0.00912;0.0842105
no_shared;1000;3;64;16;0.007328;0.104803
no_shared;1000;3;128;16;0.00704;0.109091
no_shared;1000;3;256;16;0.008352;0.091954
no_shared;1000;3;512;16;0.009248;0.083045
no_shared;1000;3;8;32;0.01328;0.0578313
no_shared;1000;3;16;32;0.009472;0.0810811
no_shared;1000;3;32;32;0.006912;0.111111
no_shared;1000;3;64;32;0.008032;0.0956175
no_shared;1000;3;128;32;0.00832;0.0923077
no_shared;1000;3;256;32;0.008288;0.0926641
no_shared;1000;3;512;32;0.00976;0.0786885
no_shared;1000;3;8;64;0.009216;0.0833333
no_shared;1000;3;16;64;0.007552;0.101695
no_shared;1000;3;32;64;0.007008;0.109589
no_shared;1000;3;64;64;0.007104;0.108108
no_shared;1000;3;128;64;0.007136;0.107623
no_shared;1000;3;256;64;0.007648;0.100418
no_shared;1000;3;512;64;0.0096;0.08
no_shared;1000;3;8;128;0.00768;0.1
no_shared;1000;3;16;128;0.00688;0.111628
no_shared;1000;3;32;128;0.006784;0.113208
no_shared;1000;3;64;128;0.007328;0.104803
no_shared;1000;3;128;128;0.007552;0.101695
no_shared;1000;3;256;128;0.007712;0.0995851
no_shared;1000;3;512;128;0.009536;0.0805369
no_shared;1000;3;8;256;0.007232;0.106195
no_shared;1000;3;16;256;0.007744;0.0991736
no_shared;1000;3;32;256;0.007392;0.103896
no_shared;1000;3;64;256;0.019904;0.0385852
no_shared;1000;3;128;256;0.00784;0.0979592
no_shared;1000;3;256;256;0.008512;0.0902256
no_shared;1000;3;512;256;0.009024;0.0851064
no_shared;1000;3;8;512;0.007232;0.106195
no_shared;1000;3;16;512;0.006752;0.113744
no_shared;1000;3;32;512;0.007616;0.10084
no_shared;1000;3;64;512;0.007392;0.103896
no_shared;1000;3;128;512;0.007072;0.108597
no_shared;1000;3;256;512;0.00704;0.109091
no_shared;1000;3;512;512;0.007168;0.107143
no_shared;1000;3;8;1024;0.00736;0.104348
no_shared;1000;3;16;1024;0.007072;0.108597
no_shared;1000;3;32;1024;0.007104;0.108108
no_shared;1000;3;64;1024;0.007328;0.104803
no_shared;1000;3;128;1024;0.008032;0.0956175
no_shared;1000;3;256;1024;0.007808;0.0983607
no_shared;1000;3;512;1024;0.013312;0.0576923
no_shared;1000;4;8;16;0.021696;0.0464602
no_shared;1000;4;16;16;0.014528;0.0693833
no_shared;1000;4;32;16;0.009728;0.103618
no_shared;1000;4;64;16;0.006976;0.144495
no_shared;1000;4;128;16;0.007168;0.140625
no_shared;1000;4;256;16;0.008864;0.113718
no_shared;1000;4;512;16;0.032384;0.0311265
no_shared;1000;4;8;32;0.014176;0.0711061
no_shared;1000;4;16;32;0.011264;0.0894886
no_shared;1000;4;32;32;0.007264;0.138767
no_shared;1000;4;64;32;0.007232;0.139381
no_shared;1000;4;128;32;0.007616;0.132353
no_shared;1000;4;256;32;0.008416;0.119772
no_shared;1000;4;512;32;0.010592;0.0951662
no_shared;1000;4;8;64;0.01024;0.0984375
no_shared;1000;4;16;64;0.006848;0.147196
no_shared;1000;4;32;64;0.00688;0.146512
no_shared;1000;4;64;64;0.0064;0.1575
no_shared;1000;4;128;64;0.007392;0.136364
no_shared;1000;4;256;64;0.007744;0.130165
no_shared;1000;4;512;64;0.009216;0.109375
no_shared;1000;4;8;128;0.020928;0.0481651
no_shared;1000;4;16;128;0.021088;0.0477997
no_shared;1000;4;32;128;0.021376;0.0471557
no_shared;1000;4;64;128;0.020928;0.0481651
no_shared;1000;4;128;128;0.021024;0.0479452
no_shared;1000;4;256;128;0.007104;0.141892
no_shared;1000;4;512;128;0.012992;0.0775862
no_shared;1000;4;8;256;0.0072;0.14
no_shared;1000;4;16;256;0.01008;0.1
no_shared;1000;4;32;256;0.022016;0.0457849
no_shared;1000;4;64;256;0.019968;0.0504808
no_shared;1000;4;128;256;0.013472;0.0748219
no_shared;1000;4;256;256;0.0208;0.0484615
no_shared;1000;4;512;256;0.008224;0.122568
no_shared;1000;4;8;512;0.01552;0.0649485
no_shared;1000;4;16;512;0.020704;0.0486862
no_shared;1000;4;32;512;0.022528;0.0447443
no_shared;1000;4;64;512;0.021344;0.0472264
no_shared;1000;4;128;512;0.02176;0.0463235
no_shared;1000;4;256;512;0.02096;0.0480916
no_shared;1000;4;512;512;0.020608;0.048913
no_shared;1000;4;8;1024;0.007232;0.139381
no_shared;1000;4;16;1024;0.017536;0.0574818
no_shared;1000;4;32;1024;0.017888;0.0563506
no_shared;1000;4;64;1024;0.018272;0.0551664
no_shared;1000;4;128;1024;0.009728;0.103618
no_shared;1000;4;256;1024;0.017312;0.0582255
no_shared;1000;4;512;1024;0.025376;0.0397226
no_shared;1000;5;8;16;0.024768;0.0542636
no_shared;1000;5;16;16;0.012096;0.111111
no_shared;1000;5;32;16;0.008576;0.156716
no_shared;1000;5;64;16;0.007552;0.177966
no_shared;1000;5;128;16;0.021888;0.0614035
no_shared;1000;5;256;16;0.008096;0.166008
no_shared;1000;5;512;16;0.008288;0.162162
no_shared;1000;5;8;32;0.012672;0.106061
no_shared;1000;5;16;32;0.00816;0.164706
no_shared;1000;5;32;32;0.022176;0.0606061
no_shared;1000;5;64;32;0.014592;0.0921053
no_shared;1000;5;128;32;0.021696;0.0619469
no_shared;1000;5;256;32;0.021984;0.0611354
no_shared;1000;5;512;32;0.013216;0.101695
no_shared;1000;5;8;64;0.008992;0.149466
no_shared;1000;5;16;64;0.006944;0.193548
no_shared;1000;5;32;64;0.006176;0.217617
no_shared;1000;5;64;64;0.007136;0.188341
no_shared;1000;5;128;64;0.00736;0.182609
no_shared;1000;5;256;64;0.019968;0.0673077
no_shared;1000;5;512;64;0.021664;0.0620384
no_shared;1000;5;8;128;0.006496;0.206897
no_shared;1000;5;16;128;0.020352;0.0660377
no_shared;1000;5;32;128;0.006784;0.198113
no_shared;1000;5;64;128;0.006368;0.211055
no_shared;1000;5;128;128;0.006848;0.196262
no_shared;1000;5;256;128;0.007424;0.181034
no_shared;1000;5;512;128;0.023296;0.0576923
