kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;16;0.075008;0.00341297
no_shared;1000;1;16;16;0.046336;0.00552486
no_shared;1000;1;32;16;0.045312;0.00564972
no_shared;1000;1;64;16;0.037184;0.00688468
no_shared;1000;1;128;16;0.036928;0.00693241
no_shared;1000;1;256;16;0.051424;0.00497822
no_shared;1000;1;512;16;0.03664;0.0069869
no_shared;1000;1;8;32;0.036992;0.00692042
no_shared;1000;1;16;32;0.05088;0.00503145
no_shared;1000;1;32;32;0.036832;0.00695048
no_shared;1000;1;64;32;0.036832;0.00695048
no_shared;1000;1;128;32;0.036384;0.00703606
no_shared;1000;1;256;32;0.036864;0.00694444
no_shared;1000;1;512;32;0.036128;0.00708592
no_shared;1000;1;8;64;0.036864;0.00694444
no_shared;1000;1;16;64;0.036064;0.00709849
no_shared;1000;1;32;64;0.035968;0.00711744
no_shared;1000;1;64;64;0.03632;0.00704846
no_shared;1000;1;128;64;0.037024;0.00691443
no_shared;1000;1;256;64;0.036096;0.0070922
no_shared;1000;1;512;64;0.037344;0.00685518
no_shared;1000;1;8;128;0.037024;0.00691443
no_shared;1000;1;16;128;0.036448;0.0070237
no_shared;1000;1;32;128;0.036512;0.00701139
no_shared;1000;1;64;128;0.037184;0.00688468
no_shared;1000;1;128;128;0.037056;0.00690846
no_shared;1000;1;256;128;0.036736;0.00696864
no_shared;1000;1;512;128;0.037216;0.00687876
no_shared;1000;1;8;256;0.036128;0.00708592
no_shared;1000;1;16;256;0.051136;0.00500626
no_shared;1000;1;32;256;0.037824;0.00676819
no_shared;1000;1;64;256;0.036576;0.00699913
no_shared;1000;1;128;256;0.036192;0.00707339
no_shared;1000;1;256;256;0.036256;0.0070609
no_shared;1000;1;512;256;0.036096;0.0070922
no_shared;1000;1;8;512;0.03664;0.0069869
no_shared;1000;1;16;512;0.036704;0.00697472
no_shared;1000;1;32;512;0.036096;0.0070922
no_shared;1000;1;64;512;0.036256;0.0070609
no_shared;1000;1;128;512;0.036064;0.00709849
no_shared;1000;1;256;512;0.03648;0.00701754
no_shared;1000;1;512;512;0.036992;0.00692042
no_shared;1000;1;8;1024;0.036736;0.00696864
no_shared;1000;1;16;1024;0.036;0.00711111
no_shared;1000;1;32;1024;0.03696;0.00692641
no_shared;1000;1;64;1024;0.03696;0.00692641
no_shared;1000;1;128;1024;0.03696;0.00692641
no_shared;1000;1;256;1024;0.035936;0.00712378
no_shared;1000;1;512;1024;0.03648;0.00701754
no_shared;1000;2;8;16;0.040896;0.0125196
no_shared;1000;2;16;16;0.039104;0.0130933
no_shared;1000;2;32;16;0.038112;0.0134341
no_shared;1000;2;64;16;0.038336;0.0133556
no_shared;1000;2;128;16;0.038144;0.0134228
no_shared;1000;2;256;16;0.038592;0.013267
no_shared;1000;2;512;16;0.03888;0.0131687
no_shared;1000;2;8;32;0.038432;0.0133222
no_shared;1000;2;16;32;0.038112;0.0134341
no_shared;1000;2;32;32;0.038464;0.0133111
no_shared;1000;2;64;32;0.037664;0.0135939
no_shared;1000;2;128;32;0.038496;0.0133001
no_shared;1000;2;256;32;0.038688;0.0132341
no_shared;1000;2;512;32;0.038688;0.0132341
no_shared;1000;2;8;64;0.038592;0.013267
no_shared;1000;2;16;64;0.038528;0.013289
no_shared;1000;2;32;64;0.038624;0.013256
no_shared;1000;2;64;64;0.037952;0.0134907
no_shared;1000;2;128;64;0.038624;0.013256
no_shared;1000;2;256;64;0.038816;0.0131904
no_shared;1000;2;512;64;0.03856;0.013278
no_shared;1000;2;8;128;0.05392;0.00949555
no_shared;1000;2;16;128;0.042752;0.011976
no_shared;1000;2;32;128;0.040512;0.0126382
no_shared;1000;2;64;128;0.039328;0.0130187
no_shared;1000;2;128;128;0.059456;0.00861141
no_shared;1000;2;256;128;0.05088;0.0100629
no_shared;1000;2;512;128;0.039616;0.0129241
no_shared;1000;2;8;256;0.037856;0.0135249
no_shared;1000;2;16;256;0.038048;0.0134567
no_shared;1000;2;32;256;0.038656;0.013245
no_shared;1000;2;64;256;0.039232;0.0130506
no_shared;1000;2;128;256;0.03776;0.0135593
no_shared;1000;2;256;256;0.03792;0.0135021
no_shared;1000;2;512;256;0.038688;0.0132341
no_shared;1000;2;8;512;0.03824;0.0133891
no_shared;1000;2;16;512;0.03856;0.013278
no_shared;1000;2;32;512;0.040416;0.0126683
no_shared;1000;2;64;512;0.039104;0.0130933
no_shared;1000;2;128;512;0.038336;0.0133556
no_shared;1000;2;256;512;0.0384;0.0133333
no_shared;1000;2;512;512;0.03776;0.0135593
no_shared;1000;2;8;1024;0.038784;0.0132013
no_shared;1000;2;16;1024;0.038368;0.0133445
no_shared;1000;2;32;1024;0.0376;0.013617
no_shared;1000;2;64;1024;0.038752;0.0132122
no_shared;1000;2;128;1024;0.038656;0.013245
no_shared;1000;2;256;1024;0.038624;0.013256
no_shared;1000;2;512;1024;0.038624;0.013256
no_shared;1000;3;8;16;0.040224;0.0190931
no_shared;1000;3;16;16;0.038912;0.0197368
no_shared;1000;3;32;16;0.038432;0.0199833
no_shared;1000;3;64;16;0.038048;0.020185
no_shared;1000;3;128;16;0.03792;0.0202532
no_shared;1000;3;256;16;0.0384;0.02
no_shared;1000;3;512;16;0.038432;0.0199833
no_shared;1000;3;8;32;0.044288;0.017341
no_shared;1000;3;16;32;0.039072;0.019656
no_shared;1000;3;32;32;0.03968;0.0193548
no_shared;1000;3;64;32;0.03952;0.0194332
no_shared;1000;3;128;32;0.039424;0.0194805
no_shared;1000;3;256;32;0.039552;0.0194175
no_shared;1000;3;512;32;0.038912;0.0197368
no_shared;1000;3;8;64;0.038944;0.0197206
no_shared;1000;3;16;64;0.039616;0.0193861
no_shared;1000;3;32;64;0.038592;0.0199005
no_shared;1000;3;64;64;0.039712;0.0193392
no_shared;1000;3;128;64;0.039392;0.0194963
no_shared;1000;3;256;64;0.039616;0.0193861
no_shared;1000;3;512;64;0.039712;0.0193392
no_shared;1000;3;8;128;0.039296;0.019544
no_shared;1000;3;16;128;0.039712;0.0193392
no_shared;1000;3;32;128;0.038528;0.0199336
no_shared;1000;3;64;128;0.03792;0.0202532
no_shared;1000;3;128;128;0.039776;0.0193081
no_shared;1000;3;256;128;0.039264;0.0195599
no_shared;1000;3;512;128;0.039808;0.0192926
no_shared;1000;3;8;256;0.038592;0.0199005
no_shared;1000;3;16;256;0.038976;0.0197044
no_shared;1000;3;32;256;0.039584;0.0194018
no_shared;1000;3;64;256;0.040032;0.0191847
no_shared;1000;3;128;256;0.039232;0.0195759
no_shared;1000;3;256;256;0.039232;0.0195759
no_shared;1000;3;512;256;0.039104;0.0196399
no_shared;1000;3;8;512;0.039488;0.0194489
no_shared;1000;3;16;512;0.042272;0.0181681
no_shared;1000;3;32;512;0.038528;0.0199336
no_shared;1000;3;64;512;0.038656;0.0198675
no_shared;1000;3;128;512;0.038688;0.0198511
no_shared;1000;3;256;512;0.039616;0.0193861
no_shared;1000;3;512;512;0.039136;0.0196239
no_shared;1000;3;8;1024;0.03856;0.019917
no_shared;1000;3;16;1024;0.038464;0.0199667
no_shared;1000;3;32;1024;0.038656;0.0198675
no_shared;1000;3;64;1024;0.038848;0.0197694
no_shared;1000;3;128;1024;0.038944;0.0197206
no_shared;1000;3;256;1024;0.039904;0.0192462
no_shared;1000;3;512;1024;0.039424;0.0194805
no_shared;1000;4;8;16;0.04048;0.0249012
no_shared;1000;4;16;16;0.044064;0.0228758
no_shared;1000;4;32;16;0.038912;0.0259046
no_shared;1000;4;64;16;0.039424;0.0255682
no_shared;1000;4;128;16;0.038816;0.0259687
no_shared;1000;4;256;16;0.049344;0.020428
no_shared;1000;4;512;16;0.059008;0.0170824
no_shared;1000;4;8;32;0.038688;0.0260546
no_shared;1000;4;16;32;0.039168;0.0257353
no_shared;1000;4;32;32;0.038368;0.0262719
no_shared;1000;4;64;32;0.044576;0.0226131
no_shared;1000;4;128;32;0.039264;0.0256724
no_shared;1000;4;256;32;0.039456;0.0255474
no_shared;1000;4;512;32;0.051104;0.0197245
no_shared;1000;4;8;64;0.038432;0.0262281
no_shared;1000;4;16;64;0.03872;0.0260331
no_shared;1000;4;32;64;0.038048;0.0264929
no_shared;1000;4;64;64;0.057888;0.0174129
no_shared;1000;4;128;64;0.038976;0.0258621
no_shared;1000;4;256;64;0.038176;0.026404
no_shared;1000;4;512;64;0.03792;0.0265823
no_shared;1000;4;8;128;0.043744;0.0230432
no_shared;1000;4;16;128;0.038592;0.0261194
no_shared;1000;4;32;128;0.039072;0.0257985
no_shared;1000;4;64;128;0.038496;0.0261845
no_shared;1000;4;128;128;0.062528;0.0161208
no_shared;1000;4;256;128;0.03904;0.0258197
no_shared;1000;4;512;128;0.05328;0.0189189
no_shared;1000;4;8;256;0.039072;0.0257985
no_shared;1000;4;16;256;0.038592;0.0261194
no_shared;1000;4;32;256;0.039264;0.0256724
no_shared;1000;4;64;256;0.039008;0.0258409
no_shared;1000;4;128;256;0.041376;0.0243619
no_shared;1000;4;256;256;0.038816;0.0259687
no_shared;1000;4;512;256;0.038208;0.0263819
no_shared;1000;4;8;512;0.05376;0.01875
no_shared;1000;4;16;512;0.052736;0.0191141
no_shared;1000;4;32;512;0.038496;0.0261845
no_shared;1000;4;64;512;0.038848;0.0259473
no_shared;1000;4;128;512;0.03856;0.0261411
no_shared;1000;4;256;512;0.038496;0.0261845
no_shared;1000;4;512;512;0.038688;0.0260546
no_shared;1000;4;8;1024;0.039136;0.0257563
no_shared;1000;4;16;1024;0.04256;0.0236842
no_shared;1000;4;32;1024;0.053728;0.0187612
no_shared;1000;4;64;1024;0.042784;0.0235602
no_shared;1000;4;128;1024;0.03808;0.0264706
no_shared;1000;4;256;1024;0.053856;0.0187166
no_shared;1000;4;512;1024;0.038848;0.0259473
no_shared;1000;5;8;16;0.040384;0.0332805
no_shared;1000;5;16;16;0.048352;0.0277962
no_shared;1000;5;32;16;0.037728;0.0356234
no_shared;1000;5;64;16;0.037792;0.0355631
no_shared;1000;5;128;16;0.03824;0.0351464
no_shared;1000;5;256;16;0.052832;0.0254391
no_shared;1000;5;512;16;0.038144;0.0352349
no_shared;1000;5;8;32;0.037856;0.035503
no_shared;1000;5;16;32;0.052736;0.0254854
no_shared;1000;5;32;32;0.038496;0.0349127
no_shared;1000;5;64;32;0.038656;0.0347682
no_shared;1000;5;128;32;0.038592;0.0348259
no_shared;1000;5;256;32;0.03792;0.035443
no_shared;1000;5;512;32;0.037312;0.0360206
no_shared;1000;5;8;64;0.038496;0.0349127
no_shared;1000;5;16;64;0.038496;0.0349127
no_shared;1000;5;32;64;0.038112;0.0352645
no_shared;1000;5;64;64;0.038528;0.0348837
no_shared;1000;5;128;64;0.037824;0.035533
no_shared;1000;5;256;64;0.038144;0.0352349
no_shared;1000;5;512;64;0.039424;0.0340909
no_shared;1000;5;8;128;0.039776;0.0337892
no_shared;1000;5;16;128;0.037568;0.0357751
no_shared;1000;5;32;128;0.037632;0.0357143
no_shared;1000;5;64;128;0.03808;0.0352941
no_shared;1000;5;128;128;0.038368;0.0350292
no_shared;1000;5;256;128;0.038048;0.0353238
no_shared;1000;5;512;128;0.038112;0.0352645
no_shared;1000;5;8;256;0.037472;0.0358668
no_shared;1000;5;16;256;0.037696;0.0356536
no_shared;1000;5;32;256;0.037696;0.0356536
no_shared;1000;5;64;256;0.037504;0.0358362
no_shared;1000;5;128;256;0.037216;0.0361135
no_shared;1000;5;256;256;0.038432;0.0349709
no_shared;1000;5;512;256;0.038016;0.0353535
no_shared;1000;5;8;512;0.038784;0.0346535
no_shared;1000;5;16;512;0.0392;0.0342857
no_shared;1000;5;32;512;0.03792;0.035443
no_shared;1000;5;64;512;0.03776;0.0355932
no_shared;1000;5;128;512;0.038048;0.0353238
no_shared;1000;5;256;512;0.037984;0.0353833
no_shared;1000;5;512;512;0.038176;0.0352054
no_shared;1000;5;8;1024;0.037248;0.0360825
no_shared;1000;5;16;1024;0.038176;0.0352054
no_shared;1000;5;32;1024;0.03728;0.0360515
no_shared;1000;5;64;1024;0.03824;0.0351464
no_shared;1000;5;128;1024;0.038048;0.0353238
no_shared;1000;5;256;1024;0.03776;0.0355932
no_shared;1000;5;512;1024;0.038272;0.0351171
no_shared;1000;6;8;16;0.04;0.04
no_shared;1000;6;16;16;0.0384;0.0416667
no_shared;1000;6;32;16;0.038912;0.0411184
no_shared;1000;6;64;16;0.037216;0.0429923
no_shared;1000;6;128;16;0.060096;0.0266241
no_shared;1000;6;256;16;0.059072;0.0270856
no_shared;1000;6;512;16;0.038208;0.041876
no_shared;1000;6;8;32;0.038624;0.041425
no_shared;1000;6;16;32;0.037984;0.042123
no_shared;1000;6;32;32;0.037856;0.0422654
no_shared;1000;6;64;32;0.0376;0.0425532
no_shared;1000;6;128;32;0.05168;0.0309598
no_shared;1000;6;256;32;0.03776;0.0423729
no_shared;1000;6;512;32;0.037408;0.0427716
no_shared;1000;6;8;64;0.038112;0.0419815
no_shared;1000;6;16;64;0.037696;0.0424448
no_shared;1000;6;32;64;0.038272;0.041806
no_shared;1000;6;64;64;0.037792;0.042337
no_shared;1000;6;128;64;0.037664;0.0424809
no_shared;1000;6;256;64;0.037824;0.0423012
no_shared;1000;6;512;64;0.037728;0.0424088
no_shared;1000;6;8;128;0.037792;0.042337
no_shared;1000;6;16;128;0.052736;0.0303398
no_shared;1000;6;32;128;0.052288;0.0305998
no_shared;1000;6;64;128;0.051808;0.0308833
no_shared;1000;6;128;128;0.037504;0.0426621
no_shared;1000;6;256;128;0.03776;0.0423729
no_shared;1000;6;512;128;0.038144;0.0419463
no_shared;1000;6;8;256;0.037728;0.0424088
no_shared;1000;6;16;256;0.052896;0.030248
no_shared;1000;6;32;256;0.037504;0.0426621
no_shared;1000;6;64;256;0.037152;0.0430663
no_shared;1000;6;128;256;0.039552;0.0404531
no_shared;1000;6;256;256;0.039072;0.04095
no_shared;1000;6;512;256;0.037824;0.0423012
no_shared;1000;6;8;512;0.042144;0.0379651
no_shared;1000;6;16;512;0.038592;0.0414594
no_shared;1000;6;32;512;0.060192;0.0265816
no_shared;1000;6;64;512;0.037728;0.0424088
no_shared;1000;6;128;512;0.039904;0.0400962
no_shared;1000;6;256;512;0.058848;0.0271887
no_shared;1000;6;512;512;0.038464;0.0415973
no_shared;1000;6;8;1024;0.037216;0.0429923
no_shared;1000;6;16;1024;0.037728;0.0424088
no_shared;1000;6;32;1024;0.037728;0.0424088
no_shared;1000;6;64;1024;0.051968;0.0307882
no_shared;1000;6;128;1024;0.0584;0.0273973
no_shared;1000;6;256;1024;0.037344;0.0428449
no_shared;1000;6;512;1024;0.038016;0.0420875
no_shared;1000;7;8;16;0.043968;0.0407569
no_shared;1000;7;16;16;0.03904;0.0459016
no_shared;1000;7;32;16;0.039136;0.045789
no_shared;1000;7;64;16;0.0632;0.0283544
no_shared;1000;7;128;16;0.038944;0.0460148
no_shared;1000;7;256;16;0.038176;0.0469405
no_shared;1000;7;512;16;0.03792;0.0472574
no_shared;1000;7;8;32;0.057984;0.0309051
no_shared;1000;7;16;32;0.038016;0.047138
no_shared;1000;7;32;32;0.058976;0.0303852
no_shared;1000;7;64;32;0.052576;0.034084
no_shared;1000;7;128;32;0.053024;0.033796
no_shared;1000;7;256;32;0.052352;0.0342298
no_shared;1000;7;512;32;0.038464;0.046589
no_shared;1000;7;8;64;0.038272;0.0468227
no_shared;1000;7;16;64;0.038304;0.0467836
no_shared;1000;7;32;64;0.038656;0.0463576
no_shared;1000;7;64;64;0.050432;0.035533
no_shared;1000;7;128;64;0.037536;0.0477408
no_shared;1000;7;256;64;0.03872;0.046281
no_shared;1000;7;512;64;0.037344;0.0479863
no_shared;1000;7;8;128;0.037984;0.0471778
no_shared;1000;7;16;128;0.038304;0.0467836
no_shared;1000;7;32;128;0.037312;0.0480274
no_shared;1000;7;64;128;0.037536;0.0477408
no_shared;1000;7;128;128;0.037568;0.0477002
no_shared;1000;7;256;128;0.03824;0.0468619
no_shared;1000;7;512;128;0.060512;0.029614
no_shared;1000;7;8;256;0.037344;0.0479863
no_shared;1000;7;16;256;0.037536;0.0477408
no_shared;1000;7;32;256;0.0376;0.0476596
no_shared;1000;7;64;256;0.037696;0.0475382
no_shared;1000;7;128;256;0.037856;0.0473373
no_shared;1000;7;256;256;0.037952;0.0472175
no_shared;1000;7;512;256;0.037792;0.0474174
no_shared;1000;7;8;512;0.039104;0.0458265
no_shared;1000;7;16;512;0.03808;0.0470588
no_shared;1000;7;32;512;0.038528;0.0465116
no_shared;1000;7;64;512;0.037504;0.0477816
no_shared;1000;7;128;512;0.037856;0.0473373
no_shared;1000;7;256;512;0.037888;0.0472973
no_shared;1000;7;512;512;0.037664;0.0475786
no_shared;1000;7;8;1024;0.038048;0.0470984
no_shared;1000;7;16;1024;0.03792;0.0472574
no_shared;1000;7;32;1024;0.038496;0.0465503
no_shared;1000;7;64;1024;0.038528;0.0465116
no_shared;1000;7;128;1024;0.038656;0.0463576
no_shared;1000;7;256;1024;0.038688;0.0463193
no_shared;1000;7;512;1024;0.038432;0.0466278
no_shared;1000;8;8;16;0.04512;0.0443262
no_shared;1000;8;16;16;0.048288;0.0414182
no_shared;1000;8;32;16;0.037696;0.053056
no_shared;1000;8;64;16;0.03872;0.0516529
no_shared;1000;8;128;16;0.052;0.0384615
no_shared;1000;8;256;16;0.052128;0.0383671
no_shared;1000;8;512;16;0.052608;0.038017
no_shared;1000;8;8;32;0.04304;0.0464684
no_shared;1000;8;16;32;0.052192;0.0383201
no_shared;1000;8;32;32;0.03744;0.0534188
no_shared;1000;8;64;32;0.040384;0.0495246
no_shared;1000;8;128;32;0.056128;0.0356328
no_shared;1000;8;256;32;0.037504;0.0533276
no_shared;1000;8;512;32;0.052544;0.0380633
no_shared;1000;8;8;64;0.037376;0.0535103
no_shared;1000;8;16;64;0.038336;0.0521703
no_shared;1000;8;32;64;0.037888;0.0527872
no_shared;1000;8;64;64;0.038016;0.0526094
no_shared;1000;8;128;64;0.037504;0.0533276
no_shared;1000;8;256;64;0.038144;0.0524329
no_shared;1000;8;512;64;0.03792;0.0527426
no_shared;1000;8;8;128;0.038208;0.0523451
no_shared;1000;8;16;128;0.050208;0.0398343
no_shared;1000;8;32;128;0.037632;0.0531463
no_shared;1000;8;64;128;0.050272;0.0397836
no_shared;1000;8;128;128;0.038272;0.0522575
no_shared;1000;8;256;128;0.037568;0.0532368
no_shared;1000;8;512;128;0.037632;0.0531463
no_shared;1000;8;8;256;0.037696;0.053056
no_shared;1000;8;16;256;0.037664;0.0531011
no_shared;1000;8;32;256;0.038752;0.0516102
no_shared;1000;8;64;256;0.04128;0.0484496
no_shared;1000;8;128;256;0.040896;0.0489045
no_shared;1000;8;256;256;0.039232;0.0509788
no_shared;1000;8;512;256;0.04016;0.0498008
no_shared;1000;8;8;512;0.039264;0.0509372
no_shared;1000;8;16;512;0.037824;0.0528765
no_shared;1000;8;32;512;0.040224;0.0497216
no_shared;1000;8;64;512;0.039328;0.0508544
no_shared;1000;8;128;512;0.040416;0.0494854
no_shared;1000;8;256;512;0.038816;0.0515251
no_shared;1000;8;512;512;0.040448;0.0494462
no_shared;1000;8;8;1024;0.038432;0.05204
no_shared;1000;8;16;1024;0.039136;0.0511038
no_shared;1000;8;32;1024;0.039136;0.0511038
no_shared;1000;8;64;1024;0.039648;0.0504439
no_shared;1000;8;128;1024;0.038688;0.0516956
no_shared;1000;8;256;1024;0.037952;0.0526981
no_shared;1000;8;512;1024;0.039072;0.0511876
no_shared;1000;9;8;16;0.03952;0.0578947
no_shared;1000;9;16;16;0.038272;0.0597826
no_shared;1000;9;32;16;0.038432;0.0595337
no_shared;1000;9;64;16;0.038944;0.058751
no_shared;1000;9;128;16;0.038944;0.058751
no_shared;1000;9;256;16;0.038976;0.0587028
no_shared;1000;9;512;16;0.038432;0.0595337
no_shared;1000;9;8;32;0.038496;0.0594348
no_shared;1000;9;16;32;0.03888;0.0588477
no_shared;1000;9;32;32;0.038304;0.0597327
no_shared;1000;9;64;32;0.039328;0.0581774
no_shared;1000;9;128;32;0.038272;0.0597826
no_shared;1000;9;256;32;0.037792;0.0605419
no_shared;1000;9;512;32;0.037504;0.0610068
no_shared;1000;9;8;64;0.038752;0.0590421
no_shared;1000;9;16;64;0.037856;0.0604396
no_shared;1000;9;32;64;0.039168;0.058415
no_shared;1000;9;64;64;0.03824;0.0598326
no_shared;1000;9;128;64;0.0392;0.0583673
no_shared;1000;9;256;64;0.038336;0.0596828
no_shared;1000;9;512;64;0.038016;0.0601852
no_shared;1000;9;8;128;0.038368;0.059633
no_shared;1000;9;16;128;0.038656;0.0591887
no_shared;1000;9;32;128;0.037952;0.0602867
no_shared;1000;9;64;128;0.038528;0.0593854
no_shared;1000;9;128;128;0.03904;0.0586066
no_shared;1000;9;256;128;0.038208;0.0598827
no_shared;1000;9;512;128;0.039136;0.0584628
no_shared;1000;9;8;256;0.0392;0.0583673
no_shared;1000;9;16;256;0.039488;0.0579417
no_shared;1000;9;32;256;0.038592;0.0592869
no_shared;1000;9;64;256;0.039136;0.0584628
no_shared;1000;9;128;256;0.038656;0.0591887
no_shared;1000;9;256;256;0.038816;0.0589448
no_shared;1000;9;512;256;0.038752;0.0590421
no_shared;1000;9;8;512;0.03888;0.0588477
no_shared;1000;9;16;512;0.038592;0.0592869
no_shared;1000;9;32;512;0.038368;0.059633
no_shared;1000;9;64;512;0.038656;0.0591887
no_shared;1000;9;128;512;0.03776;0.0605932
no_shared;1000;9;256;512;0.03904;0.0586066
no_shared;1000;9;512;512;0.037664;0.0607477
no_shared;1000;9;8;1024;0.038496;0.0594348
no_shared;1000;9;16;1024;0.038464;0.0594842
no_shared;1000;9;32;1024;0.038432;0.0595337
no_shared;1000;9;64;1024;0.039232;0.0583197
no_shared;1000;9;128;1024;0.038944;0.058751
no_shared;1000;9;256;1024;0.038432;0.0595337
no_shared;1000;9;512;1024;0.039392;0.0580829
no_shared;1000;10;8;16;0.040512;0.0659558
no_shared;1000;10;16;16;0.039744;0.0672303
no_shared;1000;10;32;16;0.039328;0.0679414
no_shared;1000;10;64;16;0.038816;0.0688376
no_shared;1000;10;128;16;0.038592;0.0692371
no_shared;1000;10;256;16;0.03872;0.0690083
no_shared;1000;10;512;16;0.038368;0.0696414
no_shared;1000;10;8;32;0.038688;0.0690653
no_shared;1000;10;16;32;0.03904;0.0684426
no_shared;1000;10;32;32;0.038368;0.0696414
no_shared;1000;10;64;32;0.039136;0.0682747
no_shared;1000;10;128;32;0.039552;0.0675566
no_shared;1000;10;256;32;0.038752;0.0689513
no_shared;1000;10;512;32;0.038816;0.0688376
no_shared;1000;10;8;64;0.0392;0.0681633
no_shared;1000;10;16;64;0.03872;0.0690083
no_shared;1000;10;32;64;0.038848;0.0687809
no_shared;1000;10;64;64;0.0384;0.0695833
no_shared;1000;10;128;64;0.03872;0.0690083
no_shared;1000;10;256;64;0.039168;0.068219
no_shared;1000;10;512;64;0.038464;0.0694676
no_shared;1000;10;8;128;0.038592;0.0692371
no_shared;1000;10;16;128;0.03792;0.0704641
no_shared;1000;10;32;128;0.039232;0.0681077
no_shared;1000;10;64;128;0.038144;0.0700503
no_shared;1000;10;128;128;0.039072;0.0683866
no_shared;1000;10;256;128;0.041408;0.0645286
no_shared;1000;10;512;128;0.038336;0.0696995
no_shared;1000;10;8;256;0.038176;0.0699916
no_shared;1000;10;16;256;0.038752;0.0689513
no_shared;1000;10;32;256;0.037792;0.0707028
no_shared;1000;10;64;256;0.038368;0.0696414
no_shared;1000;10;128;256;0.038272;0.0698161
no_shared;1000;10;256;256;0.039744;0.0672303
no_shared;1000;10;512;256;0.038624;0.0691798
no_shared;1000;10;8;512;0.038624;0.0691798
no_shared;1000;10;16;512;0.038752;0.0689513
no_shared;1000;10;32;512;0.038368;0.0696414
no_shared;1000;10;64;512;0.050656;0.0527479
no_shared;1000;10;128;512;0.03872;0.0690083
no_shared;1000;10;256;512;0.04416;0.0605072
no_shared;1000;10;512;512;0.037024;0.0721694
no_shared;1000;10;8;1024;0.0368;0.0726087
no_shared;1000;10;16;1024;0.038912;0.0686678
no_shared;1000;10;32;1024;0.044992;0.0593883
no_shared;1000;10;64;1024;0.037696;0.0708829
no_shared;1000;10;128;1024;0.037248;0.0717354
no_shared;1000;10;256;1024;0.03744;0.0713675
no_shared;1000;10;512;1024;0.036736;0.0727352
