kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1000;1;8;512;0.029472;0.00868621
no_shared;1000;1;16;512;0.017536;0.0145985
no_shared;1000;1;32;512;0.005376;0.047619
no_shared;1000;1;64;512;0.005312;0.0481928
no_shared;1000;1;8;1024;0.014272;0.0179372
no_shared;1000;1;16;1024;0.015584;0.0164271
no_shared;1000;1;32;1024;0.006208;0.0412371
no_shared;1000;1;64;1024;0.007584;0.0337553
no_shared;1000;2;8;512;0.008032;0.063745
no_shared;1000;2;16;512;0.009472;0.0540541
no_shared;1000;2;32;512;0.00896;0.0571429
no_shared;1000;2;64;512;0.008192;0.0625
no_shared;1000;2;8;1024;0.010528;0.0486322
no_shared;1000;2;16;1024;0.020608;0.0248447
no_shared;1000;2;32;1024;0.016576;0.030888
no_shared;1000;2;64;1024;0.015648;0.0327198
no_shared;1000;3;8;512;0.019488;0.0394089
no_shared;1000;3;16;512;0.008256;0.0930233
no_shared;1000;3;32;512;0.008704;0.0882353
no_shared;1000;3;64;512;0.007936;0.0967742
no_shared;1000;3;8;1024;0.00912;0.0842105
no_shared;1000;3;16;1024;0.008192;0.09375
no_shared;1000;3;32;1024;0.008384;0.0916031
no_shared;1000;3;64;1024;0.016;0.048
no_shared;1000;4;8;512;0.010944;0.0921053
no_shared;1000;4;16;512;0.008224;0.122568
no_shared;1000;4;32;512;0.016256;0.0620079
no_shared;1000;4;64;512;0.010016;0.100639
no_shared;1000;4;8;1024;0.009952;0.101286
no_shared;1000;4;16;1024;0.009568;0.105351
no_shared;1000;4;32;1024;0.008704;0.115809
no_shared;1000;4;64;1024;0.009184;0.109756
no_shared;1000;5;8;512;0.01504;0.0893617
no_shared;1000;5;16;512;0.01184;0.113514
no_shared;1000;5;32;512;0.01168;0.115068
no_shared;1000;5;64;512;0.009632;0.139535
no_shared;1000;5;8;1024;0.046624;0.0288264
no_shared;1000;5;16;1024;0.028096;0.047836
no_shared;1000;5;32;1024;0.022784;0.0589888
no_shared;1000;5;64;1024;0.023456;0.0572988
no_shared;1000;6;8;512;0.025696;0.0622665
no_shared;1000;6;16;512;0.02544;0.0628931
no_shared;1000;6;32;512;0.018112;0.0883392
no_shared;1000;6;64;512;0.028736;0.0556793
no_shared;1000;6;8;1024;0.009792;0.163399
no_shared;1000;6;16;1024;0.0088;0.181818
no_shared;1000;6;32;1024;0.008384;0.19084
no_shared;1000;6;64;1024;0.008608;0.185874
no_shared;1000;7;8;512;0.0096;0.186667
no_shared;1000;7;16;512;0.02;0.0896
no_shared;1000;7;32;512;0.01104;0.162319
no_shared;1000;7;64;512;0.01008;0.177778
no_shared;1000;7;8;1024;0.015264;0.1174
no_shared;1000;7;16;1024;0.010464;0.171254
no_shared;1000;7;32;1024;0.009152;0.195804
no_shared;1000;7;64;1024;0.008768;0.20438
no_shared;1000;8;8;512;0.01104;0.181159
no_shared;1000;8;16;512;0.009888;0.202265
no_shared;1000;8;32;512;0.011328;0.176554
no_shared;1000;8;64;512;0.043584;0.0458884
no_shared;1000;8;8;1024;0.023264;0.0859697
no_shared;1000;8;16;1024;0.01472;0.13587
no_shared;1000;8;32;1024;0.014368;0.139198
no_shared;1000;8;64;1024;0.013408;0.149165
no_shared;1000;9;8;512;0.024288;0.0942029
no_shared;1000;9;16;512;0.012544;0.182398
no_shared;1000;9;32;512;0.012672;0.180556
no_shared;1000;9;64;512;0.010976;0.208455
no_shared;1000;9;8;1024;0.024448;0.0935864
no_shared;1000;9;16;1024;0.01424;0.160674
no_shared;1000;9;32;1024;0.011072;0.206647
no_shared;1000;9;64;1024;0.014592;0.156798
no_shared;1000;10;8;512;0.01968;0.135772
no_shared;1000;10;16;512;0.014848;0.179957
no_shared;1000;10;32;512;0.018816;0.142007
no_shared;1000;10;64;512;0.015872;0.168347
no_shared;1000;10;8;1024;0.011936;0.223861
no_shared;1000;10;16;1024;0.009536;0.280201
no_shared;1000;10;32;1024;0.009408;0.284014
no_shared;1000;10;64;1024;0.008448;0.316288
no_shared;1000;11;8;512;0.01072;0.298507
no_shared;1000;11;16;512;0.008288;0.3861
no_shared;1000;11;32;512;0.01968;0.162602
no_shared;1000;11;64;512;0.011904;0.268817
no_shared;1000;11;8;1024;0.011104;0.288184
no_shared;1000;11;16;1024;0.008896;0.359712
no_shared;1000;11;32;1024;0.008896;0.359712
no_shared;1000;11;64;1024;0.010112;0.316456
no_shared;1000;12;8;512;0.013312;0.240385
no_shared;1000;12;16;512;0.010016;0.319489
no_shared;1000;12;32;512;0.011104;0.288184
no_shared;1000;12;64;512;0.03552;0.0900901
no_shared;1000;12;8;1024;0.02144;0.149254
no_shared;1000;12;16;1024;0.014944;0.214133
no_shared;1000;12;32;1024;0.014176;0.225734
no_shared;1000;12;64;1024;0.013888;0.230415
no_shared;1000;13;8;512;0.023968;0.166889
no_shared;1000;13;16;512;0.02;0.2
no_shared;1000;13;32;512;0.014176;0.282167
no_shared;1000;13;64;512;0.011264;0.355114
no_shared;1000;13;8;1024;0.009952;0.401929
no_shared;1000;13;16;1024;0.008864;0.451263
no_shared;1000;13;32;1024;0.009088;0.440141
no_shared;1000;13;64;1024;0.00864;0.462963
no_shared;1000;14;8;512;0.008768;0.456204
no_shared;1000;14;16;512;0.016736;0.239006
no_shared;1000;14;32;512;0.008416;0.475285
no_shared;1000;14;64;512;0.008096;0.494071
no_shared;1000;14;8;1024;0.014176;0.282167
no_shared;1000;14;16;1024;0.00736;0.543478
no_shared;1000;14;32;1024;0.008096;0.494071
no_shared;1000;14;64;1024;0.007104;0.563063
no_shared;1000;15;8;512;0.009056;0.441696
no_shared;1000;15;16;512;0.010624;0.376506
no_shared;1000;15;32;512;0.027712;0.144342
no_shared;1000;15;64;512;0.019872;0.201288
no_shared;1000;15;8;1024;0.019584;0.204248
no_shared;1000;15;16;1024;0.01616;0.247525
no_shared;1000;15;32;1024;0.015936;0.251004
no_shared;1000;15;64;1024;0.01536;0.260417
no_shared;1000;16;8;512;0.020064;0.199362
no_shared;1000;16;16;512;0.01408;0.284091
no_shared;1000;16;32;512;0.013792;0.290023
no_shared;1000;16;64;512;0.007968;0.502008
no_shared;1000;16;8;1024;0.044384;0.0901226
no_shared;1000;16;16;1024;0.030176;0.132556
no_shared;1000;16;32;1024;0.024896;0.160668
no_shared;1000;16;64;1024;0.023392;0.170999
no_shared;1000;17;8;512;0.022368;0.238913
no_shared;1000;17;16;512;0.01696;0.315094
no_shared;1000;17;32;512;0.035168;0.151956
no_shared;1000;17;64;512;0.018176;0.294014
no_shared;1000;17;8;1024;0.017312;0.308688
no_shared;1000;17;16;1024;0.012576;0.424936
no_shared;1000;17;32;1024;0.012288;0.434896
no_shared;1000;17;64;1024;0.012384;0.431525
no_shared;1000;18;8;512;0.015328;0.348643
no_shared;1000;18;16;512;0.011744;0.455041
no_shared;1000;18;32;512;0.03808;0.140336
no_shared;1000;18;64;512;0.024384;0.21916
no_shared;1000;18;8;1024;0.020288;0.263407
no_shared;1000;18;16;1024;0.015104;0.353814
no_shared;1000;18;32;1024;0.013632;0.392019
no_shared;1000;18;64;1024;0.013376;0.399522
no_shared;1000;19;8;512;0.0168;0.318095
no_shared;1000;19;16;512;0.02192;0.243796
no_shared;1000;19;32;512;0.01232;0.433766
no_shared;1000;19;64;512;0.01472;0.363043
no_shared;1000;19;8;1024;0.01056;0.506061
no_shared;1000;19;16;1024;0.008512;0.62782
no_shared;1000;19;32;1024;0.00848;0.630189
no_shared;1000;19;64;1024;0.008448;0.632576
no_shared;1000;20;8;512;0.033696;0.158594
no_shared;1000;20;16;512;0.02016;0.265079
no_shared;1000;20;32;512;0.017952;0.297683
no_shared;1000;20;64;512;0.023168;0.230663
no_shared;1000;20;8;1024;0.024096;0.22178
no_shared;1000;20;16;1024;0.015744;0.339431
no_shared;1000;20;32;1024;0.016864;0.316888
no_shared;1000;20;64;1024;0.015424;0.346473
no_shared;1000;21;8;512;0.033472;0.159656
no_shared;1000;21;16;512;0.019584;0.272876
no_shared;1000;21;32;512;0.016512;0.323643
no_shared;1000;21;64;512;0.01888;0.283051
no_shared;1000;21;8;1024;0.035456;0.150722
no_shared;1000;21;16;1024;0.01584;0.337374
no_shared;1000;21;32;1024;0.016032;0.333333
no_shared;1000;21;64;1024;0.015744;0.339431
no_shared;1000;22;8;512;0.031712;0.25227
no_shared;1000;22;16;512;0.018688;0.428082
no_shared;1000;22;32;512;0.019392;0.412541
no_shared;1000;22;64;512;0.016064;0.498008
no_shared;1000;22;8;1024;0.036416;0.219684
no_shared;1000;22;16;1024;0.017408;0.459559
no_shared;1000;22;32;1024;0.014656;0.545852
no_shared;1000;22;64;1024;0.01376;0.581395
no_shared;1000;23;8;512;0.029888;0.267666
no_shared;1000;23;16;512;0.021824;0.366569
no_shared;1000;23;32;512;0.012288;0.651042
no_shared;1000;23;64;512;0.02672;0.299401
no_shared;1000;23;8;1024;0.013856;0.577367
no_shared;1000;23;16;1024;0.020992;0.381098
no_shared;1000;23;32;1024;0.012544;0.637755
no_shared;1000;23;64;1024;0.010816;0.739645
no_shared;1000;24;8;512;0.019008;0.420875
no_shared;1000;24;16;512;0.012;0.666667
no_shared;1000;24;32;512;0.033472;0.239006
no_shared;1000;24;64;512;0.018912;0.423012
no_shared;1000;24;8;1024;0.027392;0.292056
no_shared;1000;24;16;1024;0.016032;0.499002
no_shared;1000;24;32;1024;0.014976;0.534188
no_shared;1000;24;64;1024;0.02464;0.324675
no_shared;1000;25;8;512;0.017312;0.462107
no_shared;1000;25;16;512;0.031232;0.256148
no_shared;1000;25;32;512;0.017568;0.455373
no_shared;1000;25;64;512;0.021312;0.375375
no_shared;1000;25;8;1024;0.023328;0.342936
no_shared;1000;25;16;1024;0.014176;0.564334
no_shared;1000;25;32;1024;0.014368;0.556793
no_shared;1000;25;64;1024;0.014752;0.542299
no_shared;1000;26;8;512;0.052448;0.152532
no_shared;1000;26;16;512;0.022272;0.359195
no_shared;1000;26;32;512;0.023584;0.339213
no_shared;1000;26;64;512;0.023456;0.341064
no_shared;1000;26;8;1024;0.016416;0.487329
no_shared;1000;26;16;1024;0.013952;0.573395
no_shared;1000;26;32;1024;0.014016;0.570776
no_shared;1000;26;64;1024;0.01376;0.581395
no_shared;1000;27;8;512;0.0328;0.243902
no_shared;1000;27;16;512;0.02;0.4
no_shared;1000;27;32;512;0.023072;0.346741
no_shared;1000;27;64;512;0.013856;0.577367
no_shared;1000;27;8;1024;0.035264;0.22686
no_shared;1000;27;16;1024;0.016032;0.499002
no_shared;1000;27;32;1024;0.014688;0.544662
no_shared;1000;27;64;1024;0.01456;0.549451
no_shared;1000;28;8;512;0.02928;0.273224
no_shared;1000;28;16;512;0.016512;0.484496
no_shared;1000;28;32;512;0.035168;0.22748
no_shared;1000;28;64;512;0.018944;0.422297
no_shared;1000;28;8;1024;0.027232;0.293772
no_shared;1000;28;16;1024;0.015744;0.50813
no_shared;1000;28;32;1024;0.014496;0.551876
no_shared;1000;28;64;1024;0.018368;0.43554
no_shared;1000;29;8;512;0.027424;0.291715
no_shared;1000;29;16;512;0.042976;0.18615
no_shared;1000;29;32;512;0.020288;0.394322
no_shared;1000;29;64;512;0.028096;0.284738
no_shared;1000;29;8;1024;0.023168;0.345304
no_shared;1000;29;16;1024;0.015744;0.50813
no_shared;1000;29;32;1024;0.0144;0.555556
no_shared;1000;29;64;1024;0.01296;0.617284
no_shared;1000;30;8;512;0.035072;0.228102
no_shared;1000;30;16;512;0.02112;0.378788
no_shared;1000;30;32;512;0.020512;0.390016
no_shared;1000;30;64;512;0.020832;0.384025
no_shared;1000;30;8;1024;0.03504;0.228311
no_shared;1000;30;16;1024;0.018976;0.421585
no_shared;1000;30;32;1024;0.016064;0.498008
no_shared;1000;30;64;1024;0.015968;0.501002
no_shared;1000;31;8;512;0.028672;0.279018
no_shared;1000;31;16;512;0.018944;0.422297
no_shared;1000;31;32;512;0.025984;0.307882
no_shared;1000;31;64;512;0.016704;0.478927
no_shared;1000;31;8;1024;0.034784;0.229991
no_shared;1000;31;16;1024;0.024896;0.321337
no_shared;1000;31;32;1024;0.023776;0.336474
no_shared;1000;31;64;1024;0.017536;0.456204
no_shared;1000;32;8;512;0.031296;0.255624
no_shared;1000;32;16;512;0.014048;0.569476
no_shared;1000;32;32;512;0.010112;0.791139
no_shared;1000;32;64;512;0.025504;0.313676
no_shared;1000;32;8;1024;0.012896;0.620347
no_shared;1000;32;16;1024;0.014976;0.534188
no_shared;1000;32;32;1024;0.014304;0.559284
no_shared;1000;32;64;1024;0.011872;0.673854
