kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared2;6500;1;8;16;0.064704;0.0252226
no_shared2;6500;1;16;16;0.018432;0.0885417
no_shared2;6500;1;32;16;0.012288;0.132812
no_shared2;6500;1;64;16;0.008864;0.184116
no_shared2;6500;1;128;16;0.010464;0.155963
no_shared2;6500;1;256;16;0.009152;0.178322
no_shared2;6500;1;512;16;0.012;0.136
no_shared2;6500;1;8;32;0.014528;0.112335
no_shared2;6500;1;16;32;0.011008;0.148256
no_shared2;6500;1;32;32;0.009664;0.168874
no_shared2;6500;1;64;32;0.008448;0.193182
no_shared2;6500;1;128;32;0.008192;0.199219
no_shared2;6500;1;256;32;0.007104;0.22973
no_shared2;6500;1;512;32;0.008192;0.199219
no_shared2;6500;1;8;64;0.01024;0.159375
no_shared2;6500;1;16;64;0.008352;0.195402
no_shared2;6500;1;32;64;0.008192;0.199219
no_shared2;6500;1;64;64;0.006464;0.252475
no_shared2;6500;1;128;64;0.00704;0.231818
no_shared2;6500;1;256;64;0.007936;0.205645
no_shared2;6500;1;512;64;0.009984;0.163462
no_shared2;6500;1;8;128;0.00688;0.237209
no_shared2;6500;1;16;128;0.006496;0.251232
no_shared2;6500;1;32;128;0.00624;0.261538
no_shared2;6500;1;64;128;0.00816;0.2
no_shared2;6500;1;128;128;0.007008;0.232877
no_shared2;6500;1;256;128;0.006912;0.236111
no_shared2;6500;1;512;128;0.00928;0.175862
no_shared2;6500;1;8;256;0.006656;0.245192
no_shared2;6500;1;16;256;0.006272;0.260204
no_shared2;6500;1;32;256;0.007616;0.214286
no_shared2;6500;1;64;256;0.006784;0.240566
no_shared2;6500;1;128;256;0.007744;0.210744
no_shared2;6500;1;256;256;0.008192;0.199219
no_shared2;6500;1;512;256;0.011744;0.138965
no_shared2;6500;1;8;512;0.008416;0.193916
no_shared2;6500;1;16;512;0.007712;0.211618
no_shared2;6500;1;32;512;0.006336;0.257576
no_shared2;6500;1;64;512;0.006752;0.241706
no_shared2;6500;1;128;512;0.007392;0.220779
no_shared2;6500;1;256;512;0.008384;0.194657
no_shared2;6500;1;512;512;0.012288;0.132812
no_shared2;6500;1;8;1024;0.007424;0.219828
no_shared2;6500;1;16;1024;0.00784;0.208163
no_shared2;6500;1;32;1024;0.00848;0.192453
no_shared2;6500;1;64;1024;0.008192;0.199219
no_shared2;6500;1;128;1024;0.008192;0.199219
no_shared2;6500;1;256;1024;0.012128;0.134565
no_shared2;6500;1;512;1024;0.018336;0.0890052
no_shared2;6500;2;8;16;0.046592;0.0700549
no_shared2;6500;2;16;16;0.028384;0.114994
no_shared2;6500;2;32;16;0.018432;0.177083
no_shared2;6500;2;64;16;0.014144;0.230769
no_shared2;6500;2;128;16;0.01104;0.295652
no_shared2;6500;2;256;16;0.010624;0.307229
no_shared2;6500;2;512;16;0.01216;0.268421
no_shared2;6500;2;8;32;0.036864;0.0885417
no_shared2;6500;2;16;32;0.022336;0.146132
no_shared2;6500;2;32;32;0.016096;0.202783
no_shared2;6500;2;64;32;0.012288;0.265625
no_shared2;6500;2;128;32;0.012288;0.265625
no_shared2;6500;2;256;32;0.012288;0.265625
no_shared2;6500;2;512;32;0.011552;0.282548
no_shared2;6500;2;8;64;0.023552;0.138587
no_shared2;6500;2;16;64;0.015008;0.217484
no_shared2;6500;2;32;64;0.012416;0.262887
no_shared2;6500;2;64;64;0.012288;0.265625
no_shared2;6500;2;128;64;0.012672;0.257576
no_shared2;6500;2;256;64;0.012832;0.254364
no_shared2;6500;2;512;64;0.01232;0.264935
no_shared2;6500;2;8;128;0.015552;0.209877
no_shared2;6500;2;16;128;0.012288;0.265625
no_shared2;6500;2;32;128;0.011904;0.274194
no_shared2;6500;2;64;128;0.012672;0.257576
no_shared2;6500;2;128;128;0.012288;0.265625
no_shared2;6500;2;256;128;0.013664;0.238876
no_shared2;6500;2;512;128;0.012992;0.251232
no_shared2;6500;2;8;256;0.013408;0.243437
no_shared2;6500;2;16;256;0.01312;0.24878
